region,year,round_id,school_id,school_name,bracket,p
1,2022,1,260,"1 Gonzaga","{1,1,1,1,1,1,1,1}",1.0
1,2022,1,254,"16 Georgia St.","{2,2,1,1,1,1,1,1}",1.0
1,2022,1,66,"8 Boise St.","{3,3,2,1,1,1,1,1}",1.0
1,2022,1,404,"9 Memphis","{4,4,2,1,1,1,1,1}",1.0
1,2022,1,164,"5 UConn","{5,5,3,2,1,1,1,1}",1.0
1,2022,1,472,"12 New Mexico St.","{6,6,3,2,1,1,1,1}",1.0
1,2022,1,31,"4 Arkansas","{7,7,4,2,1,1,1,1}",1.0
1,2022,1,738,"13 Vermont","{8,8,4,2,1,1,1,1}",1.0
1,2022,1,8,"6 Alabama","{9,9,5,3,2,1,1,1}",1.0
1,2022,1,513,"11 Notre Dame","{11,10,5,3,2,1,1,1}",1.0
1,2022,1,700,"3 Texas Tech","{12,11,6,3,2,1,1,1}",1.0
1,2022,1,440,"14 Montana St.","{13,12,6,3,2,1,1,1}",1.0
1,2022,1,416,"7 Michigan St.","{14,13,7,4,2,1,1,1}",1.0
1,2022,1,173,"10 Davidson","{15,14,7,4,2,1,1,1}",1.0
1,2022,1,193,"2 Duke","{16,15,8,4,2,1,1,1}",1.0
1,2022,1,97,"15 Cal St. Fullerton","{17,16,8,4,2,1,1,1}",1.0
2,2022,1,51,"1 Baylor","{18,17,9,5,3,2,1,1}",1.0
2,2022,1,485,"16 Norfolk St.","{19,18,9,5,3,2,1,1}",1.0
2,2022,1,457,"8 North Carolina","{20,19,10,5,3,2,1,1}",1.0
2,2022,1,387,"9 Marquette","{21,20,10,5,3,2,1,1}",1.0
2,2022,1,610,"5 Saint Mary's","{22,21,11,6,3,2,1,1}",1.0
2,2022,1,306,"12 Indiana","{24,22,11,6,3,2,1,1}",1.0
2,2022,1,110,"4 UCLA","{25,23,12,6,3,2,1,1}",1.0
2,2022,1,5,"13 Akron","{26,24,12,6,3,2,1,1}",1.0
2,2022,1,703,"6 Texas","{27,25,13,7,4,2,1,1}",1.0
2,2022,1,742,"11 Virginia Tech","{28,26,13,7,4,2,1,1}",1.0
2,2022,1,559,"3 Purdue","{29,27,14,7,4,2,1,1}",1.0
2,2022,1,813,"14 Yale","{30,28,14,7,4,2,1,1}",1.0
2,2022,1,454,"7 Murray St.","{31,29,15,8,4,2,1,1}",1.0
2,2022,1,629,"10 San Francisco","{32,30,15,8,4,2,1,1}",1.0
2,2022,1,334,"2 Kentucky","{33,31,16,8,4,2,1,1}",1.0
2,2022,1,617,"15 Saint Peter's","{34,32,16,8,4,2,1,1}",1.0
3,2022,1,29,"1 Arizona","{35,33,17,9,5,3,2,1}",1.0
3,2022,1,810,"16 Wright St.","{36,34,17,9,5,3,2,1}",1.0
3,2022,1,635,"8 Seton Hall","{38,35,18,9,5,3,2,1}",1.0
3,2022,1,698,"9 TCU","{39,36,18,9,5,3,2,1}",1.0
3,2022,1,288,"5 Houston","{40,37,19,10,5,3,2,1}",1.0
3,2022,1,9,"12 UAB","{41,38,19,10,5,3,2,1}",1.0
3,2022,1,301,"4 Illinois","{42,39,20,10,5,3,2,1}",1.0
3,2022,1,693,"13 Chattanooga","{43,40,20,10,5,3,2,1}",1.0
3,2022,1,156,"6 Colorado St.","{44,41,21,11,6,3,2,1}",1.0
3,2022,1,418,"11 Michigan","{45,42,21,11,6,3,2,1}",1.0
3,2022,1,694,"3 Tennessee","{46,43,22,11,6,3,2,1}",1.0
3,2022,1,363,"14 Longwood","{47,44,22,11,6,3,2,1}",1.0
3,2022,1,518,"7 Ohio St.","{48,45,23,12,6,3,2,1}",1.0
3,2022,1,371,"10 Loyola Chicago","{49,46,23,12,6,3,2,1}",1.0
3,2022,1,739,"2 Villanova","{50,47,24,12,6,3,2,1}",1.0
3,2022,1,180,"15 Delaware","{51,48,24,12,6,3,2,1}",1.0
4,2022,1,328,"1 Kansas","{52,49,25,13,7,4,2,1}",1.0
4,2022,1,699,"16 Texas Southern","{53,50,25,13,7,4,2,1}",1.0
4,2022,1,626,"8 San Diego St.","{55,51,26,13,7,4,2,1}",1.0
4,2022,1,169,"9 Creighton","{56,52,26,13,7,4,2,1}",1.0
4,2022,1,312,"5 Iowa","{57,53,27,14,7,4,2,1}",1.0
4,2022,1,575,"12 Richmond","{58,54,27,14,7,4,2,1}",1.0
4,2022,1,556,"4 Providence","{59,55,28,14,7,4,2,1}",1.0
4,2022,1,649,"13 South Dakota St.","{60,56,28,14,7,4,2,1}",1.0
4,2022,1,365,"6 LSU","{61,57,29,15,8,4,2,1}",1.0
4,2022,1,311,"11 Iowa St.","{62,58,29,15,8,4,2,1}",1.0
4,2022,1,796,"3 Wisconsin","{63,59,30,15,8,4,2,1}",1.0
4,2022,1,153,"14 Colgate","{64,60,30,15,8,4,2,1}",1.0
4,2022,1,657,"7 USC","{65,61,31,16,8,4,2,1}",1.0
4,2022,1,415,"10 Miami (FL)","{66,62,31,16,8,4,2,1}",1.0
4,2022,1,37,"2 Auburn","{67,63,32,16,8,4,2,1}",1.0
4,2022,1,315,"15 Jacksonville St.","{68,64,32,16,8,4,2,1}",1.0
