BEGIN
 rd |        name         |   p   
----+---------------------+-------
  2 | N.C. Central        | 0.632
  2 | Providence          | 0.539
  2 | Southern California | 0.461
  2 | UC Davis            | 0.368
  3 | Gonzaga             | 0.977
  3 | Villanova           | 0.975
  3 | North Carolina      | 0.970
  3 | Louisville          | 0.957
  3 | Kansas              | 0.949
  3 | Kentucky            | 0.944
  3 | Duke                | 0.938
  3 | Arizona             | 0.917
  3 | West Virginia       | 0.900
  3 | Oregon              | 0.898
  3 | UCLA                | 0.894
  3 | Virginia            | 0.889
  3 | Butler              | 0.877
  3 | Baylor              | 0.874
  3 | Florida St.         | 0.872
  3 | Florida             | 0.869
  3 | Wichita St.         | 0.785
  3 | SMU                 | 0.777
  3 | Purdue              | 0.774
  3 | Iowa St.            | 0.762
  3 | St. Marys (CA)      | 0.748
  3 | Wisconsin           | 0.741
  3 | Notre Dame          | 0.723
  3 | Cincinnati          | 0.647
  3 | Creighton           | 0.617
  3 | Minnesota           | 0.592
  3 | Miami (FL)          | 0.584
  3 | Michigan            | 0.549
  3 | Arkansas            | 0.539
  3 | Xavier              | 0.538
  3 | Vanderbilt          | 0.505
  3 | South Carolina      | 0.501
  3 | Marquette           | 0.499
  3 | Northwestern        | 0.495
  3 | Maryland            | 0.462
  3 | Seton Hall          | 0.461
  3 | Oklahoma St.        | 0.451
  3 | Michigan St.        | 0.416
  3 | Middle Tenn.        | 0.408
  3 | Rhode Island        | 0.383
  3 | Kansas St.          | 0.353
  3 | Princeton           | 0.277
  3 | Virginia Tech       | 0.259
  3 | VCU                 | 0.252
  3 | Nevada              | 0.238
  3 | Vermont             | 0.226
  3 | Dayton              | 0.215
  3 | East Tenn. St.      | 0.131
  3 | Fla. Gulf Coast     | 0.128
  3 | Providence          | 0.127
  3 | New Mexico St.      | 0.126
  3 | Winthrop            | 0.123
  3 | UNC Wilmington      | 0.111
  3 | Kent St.            | 0.106
  3 | Iona                | 0.102
  3 | Bucknell            | 0.100
  3 | Southern California | 0.096
  3 | North Dakota        | 0.083
  3 | Troy                | 0.062
  3 | Northern Ky.        | 0.056
  3 | Jacksonville St.    | 0.043
  3 | N.C. Central        | 0.038
  3 | Texas Southern      | 0.030
  3 | Mt. St. Marys       | 0.025
  3 | South Dakota St.    | 0.023
  3 | UC Davis            | 0.013
  4 | Gonzaga             | 0.840
  4 | North Carolina      | 0.807
  4 | Villanova           | 0.693
  4 | Kansas              | 0.681
  4 | Duke                | 0.666
  4 | West Virginia       | 0.666
  4 | Louisville          | 0.635
  4 | Florida St.         | 0.595
  4 | Oregon              | 0.583
  4 | Butler              | 0.565
  4 | Virginia            | 0.552
  4 | Kentucky            | 0.522
  4 | Baylor              | 0.496
  4 | Purdue              | 0.475
  4 | UCLA                | 0.460
  4 | St. Marys (CA)      | 0.454
  4 | Arizona             | 0.448
  4 | SMU                 | 0.421
  4 | Wichita St.         | 0.419
  4 | Florida             | 0.408
  4 | Iowa St.            | 0.389
  4 | Cincinnati          | 0.374
  4 | Creighton           | 0.270
  4 | Wisconsin           | 0.262
  4 | Minnesota           | 0.262
  4 | Notre Dame          | 0.256
  4 | Xavier              | 0.210
  4 | Michigan            | 0.209
  4 | Miami (FL)          | 0.198
  4 | Maryland            | 0.165
  4 | South Carolina      | 0.163
  4 | Marquette           | 0.162
  4 | Kansas St.          | 0.154
  4 | Oklahoma St.        | 0.152
  4 | Middle Tenn.        | 0.148
  4 | Rhode Island        | 0.128
  4 | Michigan St.        | 0.114
  4 | Arkansas            | 0.107
  4 | VCU                 | 0.090
  4 | Seton Hall          | 0.082
  4 | Vanderbilt          | 0.080
  4 | Northwestern        | 0.077
  4 | Vermont             | 0.075
  4 | Nevada              | 0.062
  4 | Dayton              | 0.055
  4 | Princeton           | 0.053
  4 | Virginia Tech       | 0.044
  4 | Providence          | 0.036
  4 | Fla. Gulf Coast     | 0.031
  4 | Southern California | 0.025
  4 | Bucknell            | 0.025
  4 | Winthrop            | 0.025
  4 | UNC Wilmington      | 0.022
  4 | New Mexico St.      | 0.022
  4 | East Tenn. St.      | 0.018
  4 | Iona                | 0.018
  4 | Kent St.            | 0.012
  4 | Troy                | 0.009
  4 | North Dakota        | 0.007
  4 | N.C. Central        | 0.005
  4 | Northern Ky.        | 0.004
  4 | Texas Southern      | 0.004
  4 | South Dakota St.    | 0.003
  4 | Jacksonville St.    | 0.003
  4 | Mt. St. Marys       | 0.002
  4 | UC Davis            | 0.001
  5 | North Carolina      | 0.608
  5 | Gonzaga             | 0.557
  5 | Louisville          | 0.422
  5 | Villanova           | 0.391
  5 | Kansas              | 0.391
  5 | Duke                | 0.379
  5 | Kentucky            | 0.336
  5 | West Virginia       | 0.314
  5 | Florida St.         | 0.306
  5 | Virginia            | 0.299
  5 | St. Marys (CA)      | 0.283
  5 | Wichita St.         | 0.273
  5 | Purdue              | 0.265
  5 | Oregon              | 0.265
  5 | Baylor              | 0.264
  5 | Arizona             | 0.247
  5 | SMU                 | 0.221
  5 | Butler              | 0.209
  5 | Iowa St.            | 0.196
  5 | Florida             | 0.190
  5 | UCLA                | 0.173
  5 | Cincinnati          | 0.154
  5 | Michigan            | 0.110
  5 | Wisconsin           | 0.106
  5 | Creighton           | 0.095
  5 | Notre Dame          | 0.076
  5 | Miami (FL)          | 0.076
  5 | Minnesota           | 0.074
  5 | Xavier              | 0.073
  5 | Oklahoma St.        | 0.073
  5 | South Carolina      | 0.059
  5 | Marquette           | 0.058
  5 | Maryland            | 0.052
  5 | Arkansas            | 0.044
  5 | Kansas St.          | 0.043
  5 | Michigan St.        | 0.035
  5 | Rhode Island        | 0.033
  5 | VCU                 | 0.033
  5 | Middle Tenn.        | 0.032
  5 | Seton Hall          | 0.031
  5 | Vanderbilt          | 0.021
  5 | Vermont             | 0.021
  5 | Northwestern        | 0.020
  5 | Dayton              | 0.019
  5 | Nevada              | 0.016
  5 | Providence          | 0.010
  5 | Virginia Tech       | 0.009
  5 | Princeton           | 0.008
  5 | Southern California | 0.006
  5 | Fla. Gulf Coast     | 0.004
  5 | Bucknell            | 0.003
  5 | UNC Wilmington      | 0.003
  5 | New Mexico St.      | 0.003
  5 | Winthrop            | 0.002
  5 | Iona                | 0.002
  5 | East Tenn. St.      | 0.002
  5 | North Dakota        | 0.001
  5 | Kent St.            | 0.001
  5 | Troy                | 0.001
  5 | Mt. St. Marys       | 0.000
  5 | Jacksonville St.    | 0.000
  5 | UC Davis            | 0.000
  5 | South Dakota St.    | 0.000
  5 | Northern Ky.        | 0.000
  5 | Texas Southern      | 0.000
  5 | N.C. Central        | 0.000
  6 | Gonzaga             | 0.422
  6 | North Carolina      | 0.370
  6 | Villanova           | 0.258
  6 | Louisville          | 0.256
  6 | West Virginia       | 0.215
  6 | Kansas              | 0.208
  6 | Virginia            | 0.192
  6 | Kentucky            | 0.184
  6 | Duke                | 0.165
  6 | Wichita St.         | 0.152
  6 | Purdue              | 0.138
  6 | Oregon              | 0.133
  6 | Florida             | 0.108
  6 | St. Marys (CA)      | 0.104
  6 | Baylor              | 0.104
  6 | Florida St.         | 0.100
  6 | Iowa St.            | 0.092
