year,round_id,school_id,school_name,bracket,p
2018,1,746,"Virginia","{1,1,1,1,1,1,1}",1.0
2018,1,391,"UMBC","{2,1,1,1,1,1,1}",1.0
2018,1,169,"Creighton","{3,2,1,1,1,1,1}",1.0
2018,1,327,"Kansas St.","{4,2,1,1,1,1,1}",1.0
2018,1,334,"Kentucky","{5,3,2,1,1,1,1}",1.0
2018,1,173,"Davidson","{6,3,2,1,1,1,1}",1.0
2018,1,29,"Arizona","{7,4,2,1,1,1,1}",1.0
2018,1,86,"Buffalo","{8,4,2,1,1,1,1}",1.0
2018,1,415,"Miami (Fla.)","{9,5,3,2,1,1,1}",1.0
2018,1,371,"Loyola Chicago","{10,5,3,2,1,1,1}",1.0
2018,1,694,"Tennessee","{11,6,3,2,1,1,1}",1.0
2018,1,810,"Wright State","{12,6,3,2,1,1,1}",1.0
2018,1,466,"Nevada","{13,7,4,2,1,1,1}",1.0
2018,1,703,"Texas","{14,7,4,2,1,1,1}",1.0
2018,1,140,"Cincinnati","{15,8,4,2,1,1,1}",1.0
2018,1,254,"Georgia State","{16,8,4,2,1,1,1}",1.0
2018,1,812,"Xavier","{17,9,5,3,2,1,1}",1.0
2018,1,699,"Texas Southern","{18,9,5,3,2,1,1}",1.0
2018,1,434,"Missouri","{19,10,5,3,2,1,1}",1.0
2018,1,234,"Florida State","{20,10,5,3,2,1,1}",1.0
2018,1,518,"Ohio St.","{21,11,6,3,2,1,1}",1.0
2018,1,649,"South Dakota St.","{22,11,6,3,2,1,1}",1.0
2018,1,260,"Gonzaga","{23,12,6,3,2,1,1}",1.0
2018,1,459,"UNCG","{24,12,6,3,2,1,1}",1.0
2018,1,288,"Houston","{25,13,7,4,2,1,1}",1.0
2018,1,626,"San Diego State","{26,13,7,4,2,1,1}",1.0
2018,1,418,"Michigan","{27,14,7,4,2,1,1}",1.0
2018,1,441,"Montana","{28,14,7,4,2,1,1}",1.0
2018,1,697,"Texas A&M","{29,15,8,4,2,1,1}",1.0
2018,1,556,"Providence","{30,15,8,4,2,1,1}",1.0
2018,1,457,"North Carolina","{31,16,8,4,2,1,1}",1.0
2018,1,28600,"Lipscomb","{32,16,8,4,2,1,1}",1.0
2018,1,739,"Villanova","{33,17,9,5,3,2,1}",1.0
2018,1,563,"Radford","{34,17,9,5,3,2,1}",1.0
2018,1,742,"Virginia Tech","{35,18,9,5,3,2,1}",1.0
2018,1,8,"Alabama","{36,18,9,5,3,2,1}",1.0
2018,1,768,"West Virginia","{37,19,10,5,3,2,1}",1.0
2018,1,454,"Murray State","{38,19,10,5,3,2,1}",1.0
2018,1,782,"Wichita State","{39,20,10,5,3,2,1}",1.0
2018,1,388,"Marshall","{40,20,10,5,3,2,1}",1.0
2018,1,235,"Florida","{41,21,11,6,3,2,1}",1.0
2018,1,596,"St. Bonaventure","{42,21,11,6,3,2,1}",1.0
2018,1,700,"Texas Tech","{43,22,11,6,3,2,1}",1.0
2018,1,676,"SFA","{44,22,11,6,3,2,1}",1.0
2018,1,31,"Arkansas","{45,23,12,6,3,2,1}",1.0
2018,1,87,"Butler","{46,23,12,6,3,2,1}",1.0
2018,1,559,"Purdue","{47,24,12,6,3,2,1}",1.0
2018,1,97,"CSU Fullerton","{48,24,12,6,3,2,1}",1.0
2018,1,328,"Kansas","{49,25,13,7,4,2,1}",1.0
2018,1,540,"Penn","{50,25,13,7,4,2,1}",1.0
2018,1,635,"Seton Hall","{51,26,13,7,4,2,1}",1.0
2018,1,490,"NC State","{52,26,13,7,4,2,1}",1.0
2018,1,147,"Clemson","{53,27,14,7,4,2,1}",1.0
2018,1,472,"New Mexico St.","{54,27,14,7,4,2,1}",1.0
2018,1,37,"Auburn","{55,28,14,7,4,2,1}",1.0
2018,1,1014,"Col. of Charleston","{56,28,14,7,4,2,1}",1.0
2018,1,698,"TCU","{57,29,15,8,4,2,1}",1.0
2018,1,688,"Syracuse","{58,29,15,8,4,2,1}",1.0
2018,1,416,"Michigan St.","{59,30,15,8,4,2,1}",1.0
2018,1,83,"Bucknell","{60,30,15,8,4,2,1}",1.0
2018,1,572,"Rhode Island","{61,31,16,8,4,2,1}",1.0
2018,1,522,"Oklahoma","{62,31,16,8,4,2,1}",1.0
2018,1,193,"Duke","{63,32,16,8,4,2,1}",1.0
2018,1,310,"Iona","{64,32,16,8,4,2,1}",1.0
