region,year,round_id,school_id,school_name,bracket,p
1,2022,1,260,"Gonzaga","{1,1,1,1,1,1,1,1}",1.0
1,2022,1,254,"Georgia St","{2,2,1,1,1,1,1,1}",1.0
1,2022,1,66,"Boise St","{3,3,2,1,1,1,1,1}",1.0
1,2022,1,404,"Memphis","{4,4,2,1,1,1,1,1}",1.0
1,2022,1,164,"Connecticut","{5,5,3,2,1,1,1,1}",1.0
1,2022,1,472,"New Mexico St","{6,6,3,2,1,1,1,1}",1.0
1,2022,1,31,"Arkansas","{7,7,4,2,1,1,1,1}",1.0
1,2022,1,738,"Vermont","{8,8,4,2,1,1,1,1}",1.0
1,2022,1,8,"Alabama","{9,9,5,3,2,1,1,1}",1.0
1,2022,1,587,"Rutgers","{10,10,5,3,2,1,1,1}",1.0
1,2022,1,513,"Notre Dame","{11,10,5,3,2,1,1,1}",1.0
1,2022,1,700,"Texas Tech","{12,11,6,3,2,1,1,1}",1.0
1,2022,1,440,"Montana St","{13,12,6,3,2,1,1,1}",1.0
1,2022,1,416,"Michigan St","{14,13,7,4,2,1,1,1}",1.0
1,2022,1,173,"Davidson","{15,14,7,4,2,1,1,1}",1.0
1,2022,1,193,"Duke","{16,15,8,4,2,1,1,1}",1.0
1,2022,1,97,"CS Fullerton","{17,16,8,4,2,1,1,1}",1.0
2,2022,1,51,"Baylor","{18,17,9,5,3,2,1,1}",1.0
2,2022,1,485,"Norfolk St","{19,18,9,5,3,2,1,1}",1.0
2,2022,1,457,"North Carolina","{20,19,10,5,3,2,1,1}",1.0
2,2022,1,387,"Marquette","{21,20,10,5,3,2,1,1}",1.0
2,2022,1,610,"St Mary's CA","{22,21,11,6,3,2,1,1}",1.0
2,2022,1,811,"Wyoming","{23,22,11,6,3,2,1,1}",1.0
2,2022,1,306,"Indiana","{24,22,11,6,3,2,1,1}",1.0
2,2022,1,110,"UCLA","{25,23,12,6,3,2,1,1}",1.0
2,2022,1,5,"Akron","{26,24,12,6,3,2,1,1}",1.0
2,2022,1,703,"Texas","{27,25,13,7,4,2,1,1}",1.0
2,2022,1,742,"Virginia Tech","{28,26,13,7,4,2,1,1}",1.0
2,2022,1,559,"Purdue","{29,27,14,7,4,2,1,1}",1.0
2,2022,1,813,"Yale","{30,28,14,7,4,2,1,1}",1.0
2,2022,1,454,"Murray St","{31,29,15,8,4,2,1,1}",1.0
2,2022,1,629,"San Francisco","{32,30,15,8,4,2,1,1}",1.0
2,2022,1,334,"Kentucky","{33,31,16,8,4,2,1,1}",1.0
2,2022,1,617,"St Peter's","{34,32,16,8,4,2,1,1}",1.0
3,2022,1,29,"Arizona","{35,33,17,9,5,3,2,1}",1.0
3,2022,1,810,"Wright St","{36,34,17,9,5,3,2,1}",1.0
3,2022,1,81,"Bryant","{37,34,17,9,5,3,2,1}",1.0
3,2022,1,635,"Seton Hall","{38,35,18,9,5,3,2,1}",1.0
3,2022,1,698,"TCU","{39,36,18,9,5,3,2,1}",1.0
3,2022,1,288,"Houston","{40,37,19,10,5,3,2,1}",1.0
3,2022,1,9,"UAB","{41,38,19,10,5,3,2,1}",1.0
3,2022,1,301,"Illinois","{42,39,20,10,5,3,2,1}",1.0
3,2022,1,693,"Chattanooga","{43,40,20,10,5,3,2,1}",1.0
3,2022,1,156,"Colorado St","{44,41,21,11,6,3,2,1}",1.0
3,2022,1,418,"Michigan","{45,42,21,11,6,3,2,1}",1.0
3,2022,1,694,"Tennessee","{46,43,22,11,6,3,2,1}",1.0
3,2022,1,363,"Longwood","{47,44,22,11,6,3,2,1}",1.0
3,2022,1,518,"Ohio St","{48,45,23,12,6,3,2,1}",1.0
3,2022,1,371,"Loyola-Chicago","{49,46,23,12,6,3,2,1}",1.0
3,2022,1,739,"Villanova","{50,47,24,12,6,3,2,1}",1.0
3,2022,1,180,"Delaware","{51,48,24,12,6,3,2,1}",1.0
4,2022,1,328,"Kansas","{52,49,25,13,7,4,2,1}",1.0
4,2022,1,699,"TX Southern","{53,50,25,13,7,4,2,1}",1.0
4,2022,1,26172,"TAM C. Christi","{54,50,25,13,7,4,2,1}",1.0
4,2022,1,626,"San Diego St","{55,51,26,13,7,4,2,1}",1.0
4,2022,1,169,"Creighton","{56,52,26,13,7,4,2,1}",1.0
4,2022,1,312,"Iowa","{57,53,27,14,7,4,2,1}",1.0
4,2022,1,575,"Richmond","{58,54,27,14,7,4,2,1}",1.0
4,2022,1,556,"Providence","{59,55,28,14,7,4,2,1}",1.0
4,2022,1,649,"S Dakota St","{60,56,28,14,7,4,2,1}",1.0
4,2022,1,365,"LSU","{61,57,29,15,8,4,2,1}",1.0
4,2022,1,311,"Iowa St","{62,58,29,15,8,4,2,1}",1.0
4,2022,1,796,"Wisconsin","{63,59,30,15,8,4,2,1}",1.0
4,2022,1,153,"Colgate","{64,60,30,15,8,4,2,1}",1.0
4,2022,1,657,"USC","{65,61,31,16,8,4,2,1}",1.0
4,2022,1,415,"Miami FL","{66,62,31,16,8,4,2,1}",1.0
4,2022,1,37,"Auburn","{67,63,32,16,8,4,2,1}",1.0
4,2022,1,315,"Jacksonville St","{68,64,32,16,8,4,2,1}",1.0
