team_name,team_predicted_p,team_moneyline,team_implied_p,team_kelly,opponent_name,opponent_predicted_p,opponent_moneyline,opponent_implied_p,opponent_kelly
Wisconsin,0.745,-230.0,0.697,0.15850,Virginia Tech,0.255,201.0,0.332,-0.11565
Maryland,0.437,-127.0,0.559,-0.27801,Xavier,0.563,113.0,0.469,0.17627
Gonzaga,0.984,-7000.0,0.986,-0.13600,South Dakota State,0.016,2214.0,0.043,-0.02844
Florida State,0.865,-850.0,0.895,-0.28250,Florida Gulf Coast,0.135,644.0,0.134,0.00068
Northwestern,0.468,123.0,0.448,0.03548,Vanderbilt,0.532,-138.0,0.580,-0.11384
Purdue,0.839,-525.0,0.840,-0.00625,Vermont,0.161,429.0,0.189,-0.03457
Virginia,0.888,-335.0,0.770,0.51280,UNC Wilmington,0.112,286.0,0.259,-0.19849
Notre Dame,0.762,-295.0,0.747,0.05990,Princeton,0.238,254.0,0.282,-0.06200
Arizona,0.929,-3000.0,0.968,-1.20100,North Dakota,0.071,1529.0,0.061,0.01024
West Virginia,0.927,-1200.0,0.923,0.05100,Bucknell,0.073,843.0,0.106,-0.03696
Florida,0.914,-550.0,0.846,0.44100,East Tennessee State,0.086,447.0,0.183,-0.11847
Butler,0.877,-680.0,0.872,0.04060,Winthrop,0.123,536.0,0.157,-0.04062
Iowa State,0.769,-285.0,0.740,0.11065,Nevada,0.231,246.0,0.289,-0.08160
Villanova,0.988,-10000.0,0.990,-0.21200,Mount St Mary's,0.012,2462.0,0.039,-0.02813
Saint Mary's,0.819,-195.0,0.661,0.46605,VCU,0.181,172.0,0.368,-0.29516
Minnesota,0.545,104.0,0.490,0.10750,Middle Tennessee,0.455,-117.0,0.539,-0.18265
