team_name,team_predicted_p,team_moneyline,team_implied_p,team_kelly,opponent_name,opponent_predicted_p,opponent_moneyline,opponent_implied_p,opponent_kelly
West Virginia,0.675,-145.0,0.592,0.20375,Notre Dame,0.325,129.0,0.437,-0.19826
Villanova,0.770,-260.0,0.722,0.17200,Wisconsin,0.230,226.0,0.307,-0.11071
Gonzaga,0.902,-660.0,0.868,0.25520,Northwestern,0.098,522.0,0.161,-0.07480
Florida State,0.714,-262.0,0.724,-0.03532,Xavier,0.286,227.0,0.306,-0.02854
Butler,0.694,-190.0,0.655,0.11260,Middle Tennessee,0.306,,,
Arizona,0.373,-215.0,0.683,-0.97505,Saint Mary's,0.627,,,
Florida,0.516,-130.0,0.565,-0.11320,Virginia,0.484,116.0,0.463,0.03917
Purdue,0.613,-114.0,0.533,0.17182,Iowa State,0.387,101.0,0.498,-0.21993
