game_id	period_id	section_id	team_name	fgm	fga	tpfg	tpfga	ft	fta	pts	orebs	drebs	tot	reb	ast	to	stl	blk	fouls	dq
4231617	1st Half	0	Centenary (LA)	9	29	4	10	7	11	29	4	10	14	4	11	0	2	10	""
4231617	1st Half	1	La.-Monroe	22	40	7	18	7	13	58	11	16	27	12	5	6	2	11	""
4231617	2nd Half	0	Centenary (LA)	9	35	5	16	11	15	34	7	12	19	6	6	2	2	9	""
4231617	2nd Half	1	La.-Monroe	15	28	5	11	3	8	38	2	21	23	7	10	3	0	10	""
4231617	Game Stats	0	Centenary (LA)	18	64/	9/	26/	18/	26/	63/	11	22	33/	10	17/	2	4/	19/	""
4231617	Game Stats	1	La.-Monroe	37	68	12	29	10	21	96	13	37	50	19	15	9	2	21	""
4231853	1st Half	0	Sarah Lawrence	9	33	2	10	4	8	24	2	18	20	4	10	1	0	7	""
4231853	1st Half	1	NJIT	21	48	6	21	6	9	54	10	22	32	10	3	7	2	9	""
4231853	2nd Half	0	Sarah Lawrence	6	33	1	9	1	4	14	7	10	17	3	13	2	0	8	""
4231853	2nd Half	1	NJIT	20	37	1	11	5	8	46	9	21	30	9	9	7	2	7	""
4231853	Game Stats	0	Sarah Lawrence	15/	66/	3/	19/	5/	12/	38/	9	28	37/	7/	23/	3/	""	15/	""
4231853	Game Stats	1	NJIT	41	85/	7	32	11	17	100	19	43	62	19	12	14	4	16	""
4231910	1st Half	0	Schreiner	10	30	5	12	2	5	27	4	11	15	9	5	3	1	7	""
4231910	1st Half	1	Abilene Christian	13	29	4	11	5	8	35	6	18	24	6	7	3	3	8	""
4231910	2nd Half	0	Schreiner	13	23	3	9	3	6	32	5	11	16	9	9	3	1	7	""
4231910	2nd Half	1	Abilene Christian	14	35	5	11	5	7	38	11	8	19	7	4	5	2	9	""
4231910	Game Stats	0	Abilene Christian	27	64	9	22	10	15	73	17	26	43	13	11	8	5	17	""
4231910	Game Stats	1	Schreiner	23/	53	8	21	5	11	59	9	22	31	18/	14	6/	2	14	""
4232037	1st Half	0	MSOE	9	23	2	11	11	15	31	4	11	15	5	7	1	0	14	""
4232037	1st Half	1	Milwaukee	17	32	2	9	7	14	43	8	14	22	9	3	2	2	12	""
4232037	2nd Half	0	MSOE	7	27	3	13	10	16	27	3	10	13	3	6	3	2	9	""
4232037	2nd Half	1	Milwaukee	17	31	5	14	6	7	45	5	21	26	9	8	3	1	13	""
4232037	Game Stats	0	MSOE	16/	50/	5/	24/	21/	31/	58/	7	21	28/	8/	13/	4/	2/	23/	""
4232037	Game Stats	1	Milwaukee	34	63	7	23	13	21	88	13	35	48	18	11	5	3	25	""
4232063	1st Half	0	Cairn	9	26	6	14	3	7	27	6	11	17	7	7	1	0	8	""
4232063	1st Half	1	Liberty	15	31	8	17	1	3	39	6	14	20	11	5	3	3	8	""
4232063	2nd Half	0	Cairn	10	26	1	11	5	11	26	3	9	12	2	8	2	0	10	""
4232063	2nd Half	1	Liberty	15	26	4	12	8	12	42	4	16	20	10	9	5	1	9	""
4232063	Game Stats	0	Cairn	19/	52/	7/	25/	8/	18/	53/	9	20	29/	9/	15/	3/	""	18/	1/
4232063	Game Stats	1	Liberty	30	57	12	29	9	15	81	10	30	40	21	14	8	4	17	""
4232075	1st Half	0	LaGrange	12	31	5	15	6	9	35	9	13	22	6	12	4	0	19	""
4232075	1st Half	1	New Orleans	13	34	2	11	17	25	45	14	12	26	6	7	6	2	8	""
4232075	2nd Half	0	LaGrange	11	33	1	13	9	9	32	9	7	16	4	11	1	1	13	""
4232075	2nd Half	1	New Orleans	21	36	6	11	10	12	58	8	13	21	11	4	7	1	10	""
4232075	Game Stats	0	LaGrange	23/	64/	6/	28/	15/	18/	67/	18	20	38/	10/	23/	5/	1/	32/	2/
4232075	Game Stats	1	New Orleans	34	70	8	22	27	37	103	22	25	47	17	11	13	3	18	""
4232199	1st Half	0	Hood	6	21	2	9	3	6	17	1	6	7	3	8	2	0	6	""
4232199	1st Half	1	UMBC	19	34	10	22	0	0	48	9	13	22	12	7	3	2	7	""
4232199	2nd Half	0	Hood	13	24	5	11	13	14	44	3	5	8	8	7	3	0	9	""
4232199	2nd Half	1	UMBC	17	33	7	21	3	7	44	13	6	19	9	10	4	1	12	""
4232199	Game Stats	0	Hood	19	45	7	20	16	20	61	6	11	17	11	15	5	""	15	""
4232199	Game Stats	1	UMBC	36	67	17	43/	3	7	92	23	21	44	21	17	7	3	19	""
4232201	1st Half	0	Linfield	10	27	1	5	2	4	23	4	4	8	7	5	6	0	7	""
4232201	1st Half	1	Eastern Wash.	14	23	8	15	2	2	38	5	13	18	9	11	1	5	6	""
4232201	2nd Half	0	Linfield	9	30	1	12	5	6	24	10	9	19	5	7	6	1	9	""
4232201	2nd Half	1	Eastern Wash.	11	24	8	17	2	3	32	5	12	17	10	10	4	4	8	""
