year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12480	4	Adrian	13	1629477	Webster, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1629477	Jr	F	6-5	25	25	884:00	126	250	50.40	1	4	25.00	116	177	65.54	369	14.76	54	104	158	6.32	30	51	11	7	71	2	""	3
2017	12480	4	Adrian	33	1744562	Crofford, Isiah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1744562	So	F	6-6	24	13	517:00	62	125	49.60	""	""	""	13	46	28.26	137	5.71	55	63	118	4.92	9	33	10	16	55	1	""	1
2017	12480	4	Adrian	15	1744559	Cannon, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1744559	Jr	F	6-3	24	24	594:00	71	147	48.30	4	21	19.05	19	32	59.38	165	6.88	28	67	95	3.96	22	35	27	11	87	""	""	8
2017	12480	4	Adrian	32	1861584	Ennis, Romari	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1861584	Fr	G	6-0	23	4	400:00	29	81	35.80	""	2	0.00	12	24	50.00	70	3.04	20	32	52	2.26	11	18	17	6	37	""	""	1
2017	12480	4	Adrian	30	1762255	Gold, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1762255	So	F	6-6	23	0	200:00	11	20	55.00	""	""	""	""	2	0.00	22	0.96	9	32	41	1.78	3	11	1	2	20	""	""	""
2017	12480	4	Adrian	05	1857038	Landini, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1857038	So	C	6-1	20	7	331:00	14	41	34.15	9	31	29.03	4	7	57.14	41	2.05	6	15	21	1.05	3	4	2	""	20	""	""	""
2017	12480	4	Adrian	35	1744555	Merrick, Logan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1744555	Sr	C	6-5	19	3	131:00	6	15	40.00	""	""	""	4	14	28.57	16	0.84	16	12	28	1.47	1	4	""	2	19	""	""	""
2017	12480	4	Adrian	11	1863717	Rainey, Keyon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1863717	N/A	G	-	18	18	637:00	56	168	33.33	9	31	29.03	28	34	82.35	149	8.28	13	80	93	5.17	47	55	39	3	50	""	""	2
2017	12480	4	Adrian	03	1744556	Harris, Davonte	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1744556	Sr	G	6-0	18	18	658:00	146	351	41.60	67	175	38.29	73	84	86.90	432	24.00	12	45	57	3.17	28	46	14	1	25	""	""	""
2017	12480	4	Adrian	01	1857033	Aaron, Daton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1857033	Jr	G	5-7	15	11	374:00	36	104	34.62	11	41	26.83	23	23	100.00	106	7.07	6	15	21	1.40	13	23	9	1	23	""	""	""
2017	12480	4	Adrian	04	1859526	Mossing, Chad	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1859526	Sr	G	6-3	11	2	46:00	1	17	5.88	1	17	5.88	2	4	50.00	5	0.45	""	5	5	0.45	1	3	4	""	5	""	""	""
2017	12480	4	Adrian	02	1863786	Wyatt-Morris, Ke'Shaun	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1863786	Fr	F	6-5	5	0	52:00	3	7	42.86	""	""	""	2	4	50.00	8	1.60	""	3	3	0.60	5	4	1	2	7	""	""	""
2017	12480	4	Adrian	20	1857037	Williams, Marcellous	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1857037	Fr	G	6-3	5	0	48:00	8	14	57.14	4	5	80.00	1	2	50.00	21	4.20	1	3	4	0.80	1	6	""	1	5	""	""	""
2017	12480	4	Adrian	10	1629475	Henry, Ken	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1629475	Jr	F	6-3	5	0	39:00	2	6	33.33	""	""	""	3	6	50.00	7	1.40	4	3	7	1.40	""	1	2	1	8	""	""	""
2017	12480	4	Adrian	11	1744557	Johnson, Travon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12480&stats_player_seq=1744557	So	G	6-1	4	0	68:00	6	17	35.29	""	1	0.00	8	9	88.89	20	5.00	1	10	11	2.75	2	5	2	""	8	""	""	1
