year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2014	11540	947	Arkansas Tech	-	Totals	-	-	-	-	-	6001:00	699	1,611	43.39	217	599	36.23	491	719	68.29	2,106	70.20	300	761	1,061	35.37	376	376	218	108	551	 	 
2014	11540	947	Arkansas Tech	-	Opponent Totals	-	-	-	-	-	6000:00	697	1,669	41.76	241	695	34.68	408	625	65.28	2,043	68.10	322	731	1,053	35.10	367	384	159	83	548	 	 
2014	11540	33	Armstrong	-	Totals	-	-	-	-	-	5275:00	696	1,645	42.31	152	502	30.28	412	634	64.98	1,956	75.23	449	651	1,100	42.31	390	378	145	93	553	 	 
2014	11540	33	Armstrong	-	Opponent Totals	-	-	-	-	-	5275:00	715	1,582	45.20	205	505	40.59	496	691	71.78	2,131	81.96	323	614	937	36.04	362	293	174	96	516	 	 
2014	11540	35	Ashland	-	Totals	-	-	-	-	-	5225:00	642	1,371	46.83	179	490	36.53	425	616	68.99	1,888	72.62	254	590	844	32.46	344	337	154	52	536	 	 
2014	11540	35	Ashland	-	Opponent Totals	-	-	-	-	-	5225:00	625	1,320	47.35	199	496	40.12	487	656	74.24	1,936	74.46	198	584	782	30.08	301	309	176	84	517	 	 
2014	11540	36	Assumption	-	Totals	-	-	-	-	-	5225:00	605	1,563	38.71	137	494	27.73	319	488	65.37	1,666	64.08	360	653	1,013	38.96	318	374	148	47	547	 	 
2014	11540	36	Assumption	-	Opponent Totals	-	-	-	-	-	5225:00	649	1,417	45.80	195	501	38.92	423	581	72.81	1,916	73.69	200	679	879	33.81	363	306	205	132	423	 	 
2014	11540	41	Augustana (SD)	-	Totals	-	-	-	-	-	6050:00	796	1,751	45.46	242	641	37.75	533	720	74.03	2,367	78.90	368	712	1,080	36.00	393	360	172	61	545	 	 
2014	11540	41	Augustana (SD)	-	Opponent Totals	-	-	-	-	-	6049:00	788	1,723	45.73	234	628	37.26	383	559	68.52	2,193	73.10	303	685	988	32.93	394	378	171	83	608	 	 
2014	11540	30146	Azusa Pacific	-	Totals	-	-	-	-	-	5525:00	747	1,585	47.13	192	558	34.41	400	545	73.39	2,086	77.26	287	653	940	34.81	387	340	199	100	540	 	 
2014	11540	30146	Azusa Pacific	-	Opponent Totals	-	-	-	-	-	5525:00	693	1,568	44.20	202	613	32.95	428	630	67.94	2,016	74.67	350	631	981	36.33	355	365	173	66	492	 	 
2014	11540	2685	BYU-Hawaii	-	Totals	-	-	-	-	-	5400:00	798	1,610	49.57	224	558	40.14	479	674	71.07	2,299	88.42	329	650	979	37.65	465	390	203	69	543	 	 
2014	11540	2685	BYU-Hawaii	-	Opponent Totals	-	-	-	-	-	5400:00	745	1,621	45.96	192	544	35.29	465	643	72.32	2,147	82.58	316	600	916	35.23	374	394	212	78	530	 	 
2014	11540	49	Barry	-	Totals	-	-	-	-	-	5650:00	805	1,724	46.69	215	568	37.85	457	629	72.66	2,282	81.50	389	684	1,073	38.32	529	431	187	71	554	 	 
2014	11540	49	Barry	-	Opponent Totals	-	-	-	-	-	5652:00	740	1,599	46.28	204	616	33.12	444	642	69.16	2,128	76.00	285	617	902	32.21	436	434	214	95	535	 	 
2014	11540	15646	Barton	-	Totals	-	-	-	-	-	5624:00	767	1,786	42.95	211	579	36.44	415	668	62.13	2,160	77.14	415	675	1,090	38.93	425	403	216	89	596	 	 
2014	11540	15646	Barton	-	Opponent Totals	-	-	-	-	-	5626:00	724	1,592	45.48	159	458	34.72	485	714	67.93	2,092	74.71	312	740	1,052	37.57	374	457	196	102	565	 	 
2014	11540	52	Bellarmine	-	Totals	-	-	-	-	-	6250:00	918	1,736	52.88	242	623	38.84	512	714	71.71	2,590	83.55	306	806	1,112	35.87	543	376	175	150	585	 	 
2014	11540	52	Bellarmine	-	Opponent Totals	-	-	-	-	-	6250:00	760	1,809	42.01	198	596	33.22	495	703	70.41	2,213	71.39	350	636	986	31.81	376	364	194	57	636	 	 
2014	11540	2683	Belmont Abbey	-	Totals	-	-	-	-	-	5427:00	771	1,660	46.45	196	529	37.05	466	605	77.02	2,204	81.63	314	638	952	35.26	392	379	182	40	514	 	 
2014	11540	2683	Belmont Abbey	-	Opponent Totals	-	-	-	-	-	5427:00	847	1,679	50.45	229	615	37.24	366	565	64.78	2,289	84.78	312	648	960	35.56	424	382	179	113	545	 	 
2014	11540	54	Bemidji St.	-	Totals	-	-	-	-	-	5425:00	773	1,519	50.89	211	531	39.74	439	575	76.35	2,196	81.33	272	669	941	34.85	407	354	199	79	453	 	 
2014	11540	54	Bemidji St.	-	Opponent Totals	-	-	-	-	-	5425:00	708	1,579	44.84	198	574	34.49	362	491	73.73	1,976	73.19	266	553	819	30.33	335	314	192	61	486	 	 
2014	11540	55	Benedict	-	Totals	-	-	-	-	-	5750:00	686	1,557	44.06	197	559	35.24	496	698	71.06	2,065	73.75	312	693	1,005	35.89	327	390	184	80	557	 	 
2014	11540	55	Benedict	-	Opponent Totals	-	-	-	-	-	5749:00	706	1,603	44.04	138	475	29.05	458	694	65.99	2,008	71.71	318	669	987	35.25	307	346	181	79	564	 	 
2014	11540	56	Bentley	-	Totals	-	-	-	-	-	5800:00	834	1,770	47.12	294	733	40.11	403	524	76.91	2,365	81.55	294	806	1,100	37.93	459	344	167	78	423	 	 
2014	11540	56	Bentley	-	Opponent Totals	-	-	-	-	-	5800:00	800	1,852	43.20	241	658	36.63	316	451	70.07	2,157	74.38	319	709	1,028	35.45	414	324	166	83	516	 	 
2014	11540	30134	Black Hills St.	-	Totals	-	-	-	-	-	5479:00	676	1,540	43.90	172	538	31.97	490	717	68.34	2,014	74.59	304	642	946	35.04	254	313	114	20	528	 	 
2014	11540	30134	Black Hills St.	-	Opponent Totals	-	-	-	-	-	5473:00	730	1,549	47.13	196	557	35.19	428	572	74.83	2,084	77.19	236	661	897	33.22	325	292	163	74	618	 	 
2014	11540	984	Bloomfield	-	Totals	-	-	-	-	-	6027:00	827	1,916	43.16	215	653	32.92	469	637	73.63	2,338	77.93	439	852	1,291	43.03	378	408	177	116	531	 	 
2014	11540	984	Bloomfield	-	Opponent Totals	-	-	-	-	-	6025:00	827	1,938	42.67	172	555	30.99	378	571	66.20	2,204	73.47	361	725	1,086	36.20	420	354	187	104	547	 	 
2014	11540	65	Bloomsburg	-	Totals	-	-	-	-	-	5675:00	674	1,523	44.25	157	447	35.12	539	778	69.28	2,044	73.00	330	685	1,015	36.25	323	425	219	83	508	 	 
2014	11540	65	Bloomsburg	-	Opponent Totals	-	-	-	-	-	5675:00	686	1,589	43.17	182	519	35.07	422	608	69.41	1,976	70.57	316	641	957	34.18	381	422	203	97	592	 	 
2014	11540	985	Bluefield St.	-	Totals	-	-	-	-	-	4885:00	638	1,580	40.38	170	542	31.37	464	635	73.07	1,910	79.58	335	578	913	38.04	237	329	192	50	471	 	 
2014	11540	985	Bluefield St.	-	Opponent Totals	-	-	-	-	-	4880:00	750	1,541	48.67	158	448	35.27	440	611	72.01	2,098	87.42	292	700	992	41.33	369	353	167	93	499	 	 
2014	11540	70	Bowie St.	-	Totals	-	-	-	-	-	5625:00	725	1,631	44.45	144	442	32.58	469	694	67.58	2,063	73.68	336	702	1,038	37.07	348	443	200	124	587	 	 
2014	11540	70	Bowie St.	-	Opponent Totals	-	-	-	-	-	5625:00	695	1,643	42.30	167	503	33.20	504	732	68.85	2,061	73.61	376	690	1,066	38.07	333	456	186	87	559	 	 
2014	11540	30094	Brevard	-	Totals	-	-	-	-	-	5200:00	700	1,514	46.24	258	706	36.54	331	486	68.11	1,989	76.50	171	576	747	28.73	384	325	177	34	501	 	 
2014	11540	30094	Brevard	-	Opponent Totals	-	-	-	-	-	5200:00	803	1,538	52.21	222	546	40.66	441	604	73.01	2,269	87.27	258	732	990	38.08	413	332	181	73	465	 	 
2014	11540	74	Bridgeport	-	Totals	-	-	-	-	-	5799:00	852	1,831	46.53	223	640	34.84	444	646	68.73	2,371	81.76	393	822	1,215	41.90	464	465	205	84	622	 	 
