year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12480	315	Jacksonville St.	-	Opponent Totals	-	-	-	-	-	7050:00	816	1,955	41.74	268	716	37.43	478	663	72.10	2,378	67.94	354	762	1,116	31.89	400	381	210	106	626	""	""	15
2017	12480	317	James Madison	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	41	48	89	2.78	""	14	""	""	3	""	""	""
2017	12480	317	James Madison	-	Totals	-	-	-	-	-	6677:00	770	1,733	44.43	208	629	33.07	446	623	71.59	2,194	66.48	310	823	1,133	34.33	385	467	194	89	668	""	""	13
2017	12480	317	James Madison	-	Opponent Totals	-	-	-	-	-	6675:00	775	1,767	43.86	262	757	34.61	487	679	71.72	2,299	69.67	275	750	1,025	31.06	418	390	202	88	605	""	""	8
2017	12480	328	Kansas 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	43	47	90	2.50	""	3	""	""	2	""	""	""
2017	12480	328	Kansas 	-	Totals	-	-	-	-	-	7275:00	1,071	2,193	48.84	318	787	40.41	535	789	67.81	2,995	83.19	428	964	1,392	38.67	584	456	250	162	641	""	""	17
2017	12480	328	Kansas 	-	Opponent Totals	-	-	-	-	-	7275:00	924	2,200	42.00	268	753	35.59	472	660	71.52	2,588	71.89	407	827	1,234	34.28	461	483	245	132	675	""	""	12
2017	12480	327	Kansas St.	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	46	36	82	2.34	""	18	""	""	""	""	""	""
2017	12480	327	Kansas St.	-	Totals	-	-	-	-	-	7025:00	869	1,883	46.15	247	683	36.16	538	775	69.42	2,523	72.09	330	803	1,133	32.37	522	453	271	130	630	""	""	10
2017	12480	327	Kansas St.	-	Opponent Totals	-	-	-	-	-	7025:00	827	1,921	43.05	250	654	38.23	468	642	72.90	2,372	67.77	383	787	1,170	33.43	459	523	220	114	683	""	""	12
2017	12480	1157	Kennesaw St.	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	40	38	78	2.52	""	12	""	""	""	""	""	""
2017	12480	1157	Kennesaw St.	-	Totals	-	-	-	-	-	6400:00	892	1,932	46.17	206	495	41.62	411	595	69.08	2,401	75.03	358	789	1,147	35.84	507	431	163	95	613	""	""	12
2017	12480	1157	Kennesaw St.	-	Opponent Totals	-	-	-	-	-	6400:00	885	1,877	47.15	220	590	37.29	466	689	67.63	2,456	76.75	316	784	1,100	34.38	390	399	212	97	585	""	""	9
2017	12480	331	Kent St.	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	62	47	109	3.03	""	9	""	""	""	""	""	""
