year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12260	2	Abilene Christian	-	Totals	-	-	-	-	-	200:00	37	73	50.68	5	15	33.33	15	21	71.43	94	94.00	17	29	46	46.00	23	12	14	2	23	 	 	 
2016	12260	2	Abilene Christian	-	Opponent Totals	-	-	-	-	-	200:00	23	57	40.35	5	18	27.78	12	17	70.59	63	63.00	9	21	30	30.00	6	25	1	1	19	 	 	 
2016	12260	8	Alabama	-	Totals	-	-	-	-	-	200:00	29	57	50.88	4	17	23.53	15	27	55.56	77	77.00	10	28	38	38.00	13	12	11	6	21	 	 	1
2016	12260	8	Alabama	-	Opponent Totals	-	-	-	-	-	200:00	19	55	34.55	7	19	36.84	19	26	73.08	64	64.00	12	27	39	39.00	6	16	7	4	25	 	 	 
2016	12260	14	Albany (NY)	-	Totals	-	-	-	-	-	200:00	25	58	43.10	1	14	7.14	14	22	63.64	65	65.00	13	15	28	28.00	4	15	9	 	26	 	 	1
2016	12260	14	Albany (NY)	-	Opponent Totals	-	-	-	-	-	200:00	28	50	56.00	6	17	35.29	16	24	66.67	78	78.00	12	22	34	34.00	16	20	6	8	21	 	 	 
2016	12260	23	American	-	Totals	-	-	-	-	-	200:00	16	46	34.78	2	14	14.29	8	13	61.54	42	42.00	10	19	29	29.00	4	17	8	3	27	 	 	1
2016	12260	23	American	-	Opponent Totals	-	-	-	-	-	200:00	24	46	52.17	4	13	30.77	13	31	41.94	65	65.00	11	23	34	34.00	8	13	8	5	17	 	 	 
2016	12260	28	Arizona St.	-	Totals	-	-	-	-	-	200:00	23	55	41.82	2	17	11.76	15	27	55.56	63	63.00	11	23	34	34.00	12	11	6	5	19	 	 	 
2016	12260	28	Arizona St.	-	Opponent Totals	-	-	-	-	-	200:00	26	56	46.43	6	17	35.29	8	14	57.14	66	66.00	11	30	41	41.00	14	17	3	5	25	 	 	1
2016	12260	2678	Ark.-Pine Bluff	-	Totals	-	-	-	-	-	200:00	20	55	36.36	7	30	23.33	11	16	68.75	58	58.00	8	29	37	37.00	12	12	8	6	23	 	 	 
2016	12260	2678	Ark.-Pine Bluff	-	Opponent Totals	-	-	-	-	-	200:00	17	49	34.69	6	16	37.50	16	28	57.14	56	56.00	10	31	41	41.00	12	15	5	 	17	 	 	 
2016	12260	31	Arkansas	-	Totals	-	-	-	-	-	200:00	32	66	48.48	8	15	53.33	14	26	53.85	86	86.00	17	26	43	43.00	21	14	9	6	24	 	 	1
2016	12260	31	Arkansas	-	Opponent Totals	-	-	-	-	-	200:00	22	53	41.51	4	12	33.33	20	28	71.43	68	68.00	7	21	28	28.00	9	17	8	5	22	 	 	1
2016	12260	30	Arkansas St.	-	Totals	-	-	-	-	-	200:00	26	72	36.11	7	20	35.00	11	15	73.33	70	70.00	19	28	47	47.00	14	11	2	1	27	 	 	 
2016	12260	30	Arkansas St.	-	Opponent Totals	-	-	-	-	-	200:00	21	55	38.18	7	22	31.82	30	40	75.00	79	79.00	11	31	42	42.00	13	7	4	5	20	 	 	 
2016	12260	14927	Belmont	-	Totals	-	-	-	-	-	200:00	30	66	45.45	12	34	35.29	11	17	64.71	83	83.00	11	24	35	35.00	23	12	2	1	22	 	 	 
2016	12260	14927	Belmont	-	Opponent Totals	-	-	-	-	-	200:00	28	65	43.08	6	26	23.08	18	27	66.67	80	80.00	15	29	44	44.00	19	11	7	4	20	 	 	 
2016	12260	68	Boston U.	-	Totals	-	-	-	-	-	225:00	30	65	46.15	11	29	37.93	13	21	61.90	84	84.00	9	29	38	38.00	21	9	3	3	22	 	 	2
2016	12260	68	Boston U.	-	Opponent Totals	-	-	-	-	-	225:00	26	57	45.61	11	24	45.83	24	33	72.73	87	87.00	8	29	37	37.00	13	9	5	4	19	 	 	 
2016	12260	90	Cal Poly	-	Totals	-	-	-	-	-	200:00	26	65	40.00	7	25	28.00	13	16	81.25	72	72.00	13	21	34	34.00	13	14	9	1	30	 	 	 
2016	12260	90	Cal Poly	-	Opponent Totals	-	-	-	-	-	200:00	23	51	45.10	3	14	21.43	25	40	62.50	74	74.00	14	28	42	42.00	16	19	4	5	24	 	 	 
2016	12260	107	California	-	Totals	-	-	-	-	-	200:00	36	71	50.70	10	23	43.48	15	18	83.33	97	97.00	14	34	48	48.00	16	7	4	7	21	 	 	 
2016	12260	107	California	-	Opponent Totals	-	-	-	-	-	200:00	22	60	36.67	6	17	35.29	15	22	68.18	65	65.00	7	23	30	30.00	8	9	3	1	17	 	 	 
2016	12260	129	Central Mich.	-	Opponent Totals	-	-	-	-	-	200:00	32	71	45.07	6	19	31.58	13	16	81.25	83	83.00	16	18	34	34.00	10	8	7	1	26	 	 	1
2016	12260	48	Charleston So.	-	Totals	-	-	-	-	-	200:00	18	48	37.50	8	25	32.00	19	30	63.33	63	63.00	6	23	29	29.00	8	13	 	1	39	 	 	4
2016	12260	48	Charleston So.	-	Opponent Totals	-	-	-	-	-	200:00	25	57	43.86	7	25	28.00	31	41	75.61	88	88.00	16	32	48	48.00	14	8	4	4	27	 	 	 
2016	12260	458	Charlotte	-	Totals	-	-	-	-	-	201:00	24	65	36.92	6	16	37.50	20	34	58.82	74	74.00	13	28	41	41.00	7	11	7	4	18	 	 	 
2016	12260	458	Charlotte	-	Opponent Totals	-	-	-	-	-	202:00	33	69	47.83	8	24	33.33	11	16	68.75	85	85.00	10	31	41	41.00	14	17	4	 	26	 	 	1
2016	12260	147	Clemson	-	Totals	-	-	-	-	-	200:00	23	52	44.23	8	23	34.78	20	23	86.96	74	74.00	9	33	42	42.00	16	6	3	9	17	 	 	 
2016	12260	147	Clemson	-	Opponent Totals	-	-	-	-	-	200:00	17	56	30.36	2	16	12.50	4	12	33.33	40	40.00	13	22	35	35.00	7	10	2	 	20	 	 	1
2016	12260	158	Columbia	-	Totals	-	-	-	-	-	200:00	39	80	48.75	16	46	34.78	13	28	46.43	107	107.00	30	30	60	60.00	23	14	10	10	21	 	 	 
2016	12260	158	Columbia	-	Opponent Totals	-	-	-	-	-	200:00	20	57	35.09	9	26	34.62	13	18	72.22	62	62.00	11	21	32	32.00	12	20	4	1	27	 	 	3
2016	12260	172	Dartmouth	-	Totals	-	-	-	-	-	200:00	24	63	38.10	6	18	33.33	13	16	81.25	67	67.00	9	18	27	27.00	16	13	8	3	32	 	 	 
2016	12260	172	Dartmouth	-	Opponent Totals	-	-	-	-	-	200:00	29	47	61.70	4	8	50.00	22	43	51.16	84	84.00	13	32	45	45.00	20	20	7	6	21	 	 	 
2016	12260	175	Dayton	-	Totals	-	-	-	-	-	200:00	27	52	51.92	8	22	36.36	22	37	59.46	84	84.00	13	39	52	52.00	23	17	7	8	26	 	 	 
2016	12260	175	Dayton	-	Opponent Totals	-	-	-	-	-	200:00	20	64	31.25	5	25	20.00	8	23	34.78	53	53.00	16	20	36	36.00	11	15	6	2	28	 	 	2
2016	12260	183	Denver	-	Totals	-	-	-	-	-	201:00	22	42	52.38	7	17	41.18	7	10	70.00	58	58.00	3	16	19	19.00	16	15	6	1	23	 	 	1
2016	12260	183	Denver	-	Opponent Totals	-	-	-	-	-	199:00	21	49	42.86	9	27	33.33	20	21	95.24	71	71.00	12	19	31	31.00	18	14	6	 	15	 	 	 
