game_id	period_id	section_id	team_name	fgm	fga	tpfg	tpfga	ft	fta	pts	orebs	drebs	tot	reb	ast	to	stl	blk	fouls	dq
1074691	1st Half	0	Purdue	11	26	2	9	7	8	31	4	15	19	1	4	2	2	6
1074691	1st Half	1	St. Mary's (CA)	11	35	1	15	1	2	24	9	12	21	4	3	1	1	8
1074691	2nd Half	0	Purdue	15	31	3	7	8	10	41	3	10	13	6	6	5	0	11
1074691	2nd Half	1	St. Mary's (CA)	16	29	3	10	10	11	45	3	15	18	7	8	2	2	10
1074691	Game Stats	0	Purdue	26	57	5	16	15	18	72	7	25	32	7	10	7	2	17
1074691	Game Stats	1	St. Mary's (CA)	27	64	4	25	11	13	69	12	27	39	11	11	3	3	18
1074731	1st Half	0	Purdue	13	32	6	13	4	4	36	4	10	14	9	3	3	1	4
1074731	1st Half	1	Ohio St.	18	30	3	10	1	3	40	3	15	18	9	5	1	1	6
1074731	2nd Half	0	Purdue	12	31	6	13	5	11	35	5	9	14	5	2	1	0	9
1074731	2nd Half	1	Ohio St.	19	31	1	6	9	11	48	4	17	21	7	2	0	5	9
1074731	Game Stats	0	Purdue	25	63	12	26	9	15	71	9	19	28	14	5	4	1	13
1074731	Game Stats	1	Ohio St.	37	61	4	16	10	14	88	7	32	39	16	7	1	6	15
519250	1st Half	0	Eastern Ky.	11	33	4	16	1	2	27	4	13	17	5	5	1	1	7
519250	1st Half	1	Mississippi St.	13	31	4	12	3	5	33	6	18	24	8	8	4	3	4
519250	2nd Half	0	Eastern Ky.	15	32	6	17	3	4	39	3	9	12	6	5	5	0	11
519250	2nd Half	1	Mississippi St.	15	27	4	10	9	14	43	5	14	19	8	6	5	3	5
519250	Game Stats	0	Eastern Ky.	26	65	10	33*/	4	6	66	7	22	29	11	10	6	1	18
519250	Game Stats	1	Mississippi St.	28	58	8	22	12	19	76	11	32	43	16	14	9	6	9
519330	1st Half	0	Valparaiso	9	24	2	10	10	14	30	4	15	19	6	9	1	1	11
519330	1st Half	1	Arizona	11	28	2	5	8	12	32	4	14	18	6	6	4	0	10
519330	2nd Half	0	Valparaiso	12	28	3	10	7	10	34	4	9	13	9	9	3	0	12
519330	2nd Half	1	Arizona	12	20	2	6	15	20	41	2	14	16	6	9	6	2	11
519330	Game Stats	0	Valparaiso	21	52	5	20	17	24	64	8	24	32	15	18	4	1	23
519330	Game Stats	1	Arizona	23	48	4	11	23	32	73	6	28	34	12	15	10*	2	21
519410	1st Half	0	William & Mary	12	27	7	21	2	2	33	4	17	21	7	9	1	2	6
519410	1st Half	1	St. John's (NY)	10	31	2	9	4	7	26	5	11	16	5	4	5	0	6
519410	2nd Half	0	William & Mary	10	21	4	11	2	2	26	2	12	14	6	12	0	1	13
519410	2nd Half	1	St. John's (NY)	19	28	2	6	8	18	48	4	9	13	8	0	7	3	6
