year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12260	26172	A&M-Corpus Chris	23	1510030	Douvier, Bryce	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1510030	Sr	F	6-7	16	16	359:00	47	103	45.63	11	31	35.48	54	67	80.60	159	9.94	26	73	99	6.19	11	32	14	16	49	1	 	2
2016	12260	26172	A&M-Corpus Chris	11	1402236	Currie, Jelani	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1402236	Sr	G	6-4	16	16	326:00	29	76	38.16	6	18	33.33	19	28	67.86	83	5.19	20	28	48	3.00	16	17	10	5	30	 	 	 
2016	12260	26172	A&M-Corpus Chris	34	1402237	Francis, Dale	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1402237	Sr	F	6-9	16	1	193:00	12	29	41.38	5	20	25.00	 	 	""	29	1.81	7	15	22	1.38	2	5	7	1	39	 	 	1
2016	12260	26172	A&M-Corpus Chris	00	1402242	Pye, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1402242	Sr	G	6-0	16	16	471:00	59	143	41.26	36	88	40.91	23	29	79.31	177	11.06	2	24	26	1.62	17	13	16	 	24	 	 	 
2016	12260	26172	A&M-Corpus Chris	25	1510028	Thomas, Rashawn	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1510028	Jr	F	6-7	16	15	416:00	109	198	55.05	4	14	28.57	71	99	71.72	293	18.31	54	84	138	8.62	20	52	11	33	65	5	 	7
2016	12260	26172	A&M-Corpus Chris	04	1620841	Amin, Ehab	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1620841	So	G	6-3	16	0	262:00	30	77	38.96	8	28	28.57	26	33	78.79	94	5.88	12	39	51	3.19	25	27	32	2	34	 	 	1
2016	12260	26172	A&M-Corpus Chris	03	1620844	Kilgore, Joe	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1620844	So	G	6-5	16	0	312:00	40	91	43.96	7	20	35.00	28	38	73.68	115	7.19	17	25	42	2.62	17	15	6	12	21	 	 	 
2016	12260	26172	A&M-Corpus Chris	1	1737699	Ali, Hameed	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1737699	Sr	G	6-2	16	16	476:00	45	152	29.61	17	62	27.42	56	66	84.85	163	10.19	11	34	45	2.81	87	35	43	3	36	 	 	 
2016	12260	26172	A&M-Corpus Chris	22	1510027	Toney, Emmanuel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1510027	Jr	G	6-2	14	0	129:00	5	12	41.67	1	5	20.00	3	4	75.00	14	1.00	3	11	14	1.00	11	7	2	1	23	 	 	 
2016	12260	26172	A&M-Corpus Chris	31	1620843	Juricek, Viktor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1620843	Sr	F	6-11	12	0	112:00	12	25	48.00	7	14	50.00	1	4	25.00	32	2.67	5	9	14	1.17	1	5	1	2	17	 	 	1
2016	12260	26172	A&M-Corpus Chris	12	1737701	Kocher, Jake	http://stats.ncaa.org/player?game_sport_year_ctl_id=12260&stats_player_seq=1737701	Jr	G	6-3	12	0	100:00	9	19	47.37	1	5	20.00	6	8	75.00	25	2.08	3	17	20	1.67	4	1	7	 	13	 	 	 
