year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2015	12020	228	Florida A&M	-	Totals	-	-	-	-	-	5800:00	560	1,500	37.33	119	421	28.27	368	567	64.90	1,607	55.41	281	633	914	31.52	241	415	143	62	518	 	 	13
2015	12020	228	Florida A&M	-	Opponent Totals	-	-	-	-	-	5799:00	766	1,633	46.91	216	615	35.12	367	570	64.39	2,115	72.93	348	766	1,114	38.41	454	352	206	106	519	 	 	8
2015	12020	528	Oregon St.	-	Totals	-	-	-	-	-	6225:00	665	1,577	42.17	160	495	32.32	397	573	69.28	1,887	60.87	293	680	973	31.39	373	365	241	123	590	 	 	15
2015	12020	528	Oregon St.	-	Opponent Totals	-	-	-	-	-	6225:00	576	1,494	38.55	184	609	30.21	498	673	74.00	1,834	59.16	326	718	1,044	33.68	348	456	190	97	555	 	 	7
2015	12020	129	Central Mich.	-	Totals	-	-	-	-	-	6426:00	848	1,816	46.70	322	864	37.27	486	670	72.54	2,504	78.25	327	753	1,080	33.75	448	325	226	84	562	 	 	8
2015	12020	129	Central Mich.	-	Opponent Totals	-	-	-	-	-	6425:00	780	1,752	44.52	221	639	34.59	406	608	66.78	2,187	68.34	325	753	1,078	33.69	361	431	161	88	627	 	 	9
2015	12020	2707	UMKC	-	Totals	-	-	-	-	-	6725:00	723	1,776	40.71	216	649	33.28	502	724	69.34	2,164	65.58	374	663	1,037	31.42	376	443	266	111	636	 	 	13
2015	12020	2707	UMKC	-	Opponent Totals	-	-	-	-	-	6723:00	768	1,705	45.04	207	604	34.27	459	672	68.30	2,202	66.73	384	788	1,172	35.52	438	539	212	126	666	 	 	18
2015	12020	439	Monmouth	-	Totals	-	-	-	-	-	6676:00	730	1,702	42.89	171	506	33.79	503	697	72.17	2,134	64.67	320	760	1,080	32.73	372	426	231	127	622	 	 	9
2015	12020	439	Monmouth	-	Opponent Totals	-	-	-	-	-	6676:00	703	1,758	39.99	255	746	34.18	449	654	68.65	2,110	63.94	384	747	1,131	34.27	408	457	206	128	617	 	 	14
2015	12020	649	South Dakota St.	-	Totals	-	-	-	-	-	7053:00	867	1,918	45.20	280	732	38.25	556	780	71.28	2,572	73.49	337	917	1,254	35.83	428	399	191	129	691	 	 	16
2015	12020	649	South Dakota St.	-	Opponent Totals	-	-	-	-	-	7051:00	782	1,912	40.90	207	616	33.60	506	771	65.63	2,277	65.06	361	833	1,194	34.11	391	431	220	104	734	 	 	22
2015	12020	26172	A&M-Corpus Chris	-	Totals	-	-	-	-	-	6625:00	727	1,626	44.71	160	485	32.99	587	856	68.57	2,201	66.70	321	751	1,072	32.48	343	421	222	90	677	 	 	17
2015	12020	26172	A&M-Corpus Chris	-	Opponent Totals	-	-	-	-	-	6625:00	701	1,683	41.65	189	594	31.82	532	773	68.82	2,123	64.33	369	722	1,091	33.06	376	445	189	88	727	 	 	14
2015	12020	328	Kansas	-	Totals	-	-	-	-	-	6025:00	734	1,657	44.30	185	481	38.46	503	700	71.86	2,156	71.87	359	780	1,139	37.97	412	376	199	151	528	 	 	6
2015	12020	328	Kansas	-	Opponent Totals	-	-	-	-	-	6025:00	689	1,742	39.55	182	569	31.99	383	577	66.38	1,943	64.77	364	658	1,022	34.07	347	351	179	158	579	 	 	15
2015	12020	534	Pacific	-	Totals	-	-	-	-	-	6275:00	681	1,633	41.70	202	584	34.59	432	667	64.77	1,996	64.39	384	691	1,075	34.68	363	390	125	74	667	 	 	18
2015	12020	534	Pacific	-	Opponent Totals	-	-	-	-	-	6274:00	706	1,589	44.43	208	580	35.86	495	694	71.33	2,115	68.23	298	697	995	32.10	420	317	159	126	624	 	 	16
2015	12020	48	Charleston So.	-	Totals	-	-	-	-	-	6293:00	777	1,846	42.09	288	845	34.08	435	633	68.72	2,277	73.45	403	768	1,171	37.77	397	354	214	69	540	 	 	8
2015	12020	48	Charleston So.	-	Opponent Totals	-	-	-	-	-	6295:00	740	1,696	43.63	247	683	36.16	403	570	70.70	2,130	68.71	288	779	1,067	34.42	379	410	168	120	559	 	 	7
2015	12020	368	UMass Lowell	-	Totals	-	-	-	-	-	5877:00	610	1,481	41.19	223	622	35.85	337	508	66.34	1,780	61.38	212	625	837	28.86	323	383	201	28	523	 	 	5
2015	12020	368	UMass Lowell	-	Opponent Totals	-	-	-	-	-	5876:00	691	1,489	46.41	208	587	35.43	338	494	68.42	1,928	66.48	263	754	1,017	35.07	400	437	171	94	520	 	 	6
2015	12020	234	Florida St.	-	Totals	-	-	-	-	-	6650:00	763	1,669	45.72	147	470	31.28	524	783	66.92	2,199	66.64	328	781	1,109	33.61	380	478	181	157	612	 	 	5
2015	12020	234	Florida St.	-	Opponent Totals	-	-	-	-	-	6650:00	766	1,825	41.97	193	594	32.49	485	692	70.09	2,210	66.97	366	703	1,069	32.39	395	393	205	85	670	 	 	21
2015	12020	651	South Fla.	-	Totals	-	-	-	-	-	6075:00	706	1,625	43.45	129	421	30.64	323	530	60.94	1,864	62.13	328	710	1,038	34.60	347	419	180	147	576	 	 	21
2015	12020	651	South Fla.	-	Opponent Totals	-	-	-	-	-	6075:00	687	1,646	41.74	198	550	36.00	481	710	67.75	2,053	68.43	376	702	1,078	35.93	384	373	209	124	522	 	 	9
2015	12020	441	Montana	-	Totals	-	-	-	-	-	6850:00	828	1,786	46.36	274	737	37.18	417	581	71.77	2,347	71.12	295	760	1,055	31.97	466	391	218	84	634	 	 	16
2015	12020	441	Montana	-	Opponent Totals	-	-	-	-	-	6849:00	737	1,690	43.61	229	638	35.89	516	718	71.87	2,219	67.24	300	752	1,052	31.88	387	440	192	94	591	 	 	10
2015	12020	327	Kansas St.	-	Totals	-	-	-	-	-	6425:00	690	1,593	43.31	141	421	33.49	495	732	67.62	2,016	63.00	338	677	1,015	31.72	417	424	195	74	639	 	 	7
2015	12020	327	Kansas St.	-	Opponent Totals	-	-	-	-	-	6425:00	716	1,613	44.39	172	514	33.46	438	661	66.26	2,042	63.81	311	658	969	30.28	398	409	239	136	614	 	 	13
2015	12020	2	Abilene Christian	-	Totals	-	-	-	-	-	5800:00	667	1,575	42.35	227	575	39.48	336	466	72.10	1,897	65.41	260	575	835	28.79	381	379	195	38	626	 	 	14
2015	12020	2	Abilene Christian	-	Opponent Totals	-	-	-	-	-	5800:00	705	1,465	48.12	175	477	36.69	479	698	68.62	2,064	71.17	301	731	1,032	35.59	354	430	169	116	505	 	 	5
2015	12020	540	Penn	-	Totals	-	-	-	-	-	5625:00	599	1,379	43.44	155	448	34.60	334	494	67.61	1,687	60.25	257	628	885	31.61	329	419	153	67	557	 	 	13
2015	12020	540	Penn	-	Opponent Totals	-	-	-	-	-	5625:00	637	1,441	44.21	201	534	37.64	407	573	71.03	1,882	67.21	258	613	871	31.11	371	322	191	112	478	 	 	6
2015	12020	458	Charlotte	-	Totals	-	-	-	-	-	6600:00	858	1,854	46.28	201	534	37.64	445	685	64.96	2,362	73.81	381	785	1,166	36.44	437	435	207	80	558	 	 	16
2015	12020	458	Charlotte	-	Opponent Totals	-	-	-	-	-	6600:00	818	1,861	43.95	249	683	36.46	432	616	70.13	2,317	72.41	357	748	1,105	34.53	430	408	197	108	624	 	 	10
2015	12020	654	Southeast Mo. St.	-	Totals	-	-	-	-	-	6025:00	742	1,686	44.01	189	553	34.18	414	621	66.67	2,087	69.57	345	704	1,049	34.97	378	394	218	132	598	 	 	11
2015	12020	654	Southeast Mo. St.	-	Opponent Totals	-	-	-	-	-	6025:00	703	1,611	43.64	204	512	39.84	454	660	68.79	2,064	68.80	315	721	1,036	34.53	361	413	177	75	557	 	 	12
2015	12020	236	Fordham	-	Totals	-	-	-	-	-	5626:00	650	1,562	41.61	167	550	30.36	368	509	72.30	1,835	65.54	345	675	1,020	36.43	357	411	186	106	528	 	 	16
