game_id	period_id	category	team_value	opponent_value
4228607	Game Stats	Times Tied Score	1	
4228607	Game Stats	2nd Chance Pts	22	16
4228607	Game Stats	Pts off TO	11	13
4228607	Game Stats	Fastbreak Pts		
4228607	Game Stats	Pts in Paint		
4229170	1st Half	Time of Possession	609	591
4229170	1st Half	Scoring Time of Possession	358	337
4229170	1st Half	Times Took Lead	5	5
4229170	1st Half	Largest Lead	0	0
4229170	1st Half	Time of Largest Lead	-	-
4229170	1st Half	Bench Pts	14	7
4229170	1st Half	Times Tied Score	3	1
4229170	1st Half	2nd Chance Pts	11	2
4229170	1st Half	Pts off TO	2	4
4229170	1st Half	Fastbreak Pts	2	0
4229170	1st Half	Pts in Paint	18	20
4229170	2nd Half	Time of Possession	613	578
4229170	2nd Half	Scoring Time of Possession	278	230
4229170	2nd Half	Times Took Lead	0	0
4229170	2nd Half	Largest Lead	0	0
4229170	2nd Half	Time of Largest Lead	-	-
4229170	2nd Half	Bench Pts	13	12
4229170	2nd Half	Times Tied Score	0	2
4229170	2nd Half	2nd Chance Pts	7	2
4229170	2nd Half	Pts off TO	10	10
4229170	2nd Half	Fastbreak Pts	2	8
4229170	2nd Half	Pts in Paint	16	12
4229170	Game Stats	Time of Possession	1,222	1,169
4229170	Game Stats	Scoring Time of Possession	636	567
4229170	Game Stats	Times Took Lead	5	5
4229170	Game Stats	Largest Lead	16	6
4229170	Game Stats	Time of Largest Lead		
4229170	Game Stats	Bench Pts	27	19
4229170	Game Stats	Times Tied Score	3	3
4229170	Game Stats	2nd Chance Pts	18	4
4229170	Game Stats	Pts off TO	12	14
4229170	Game Stats	Fastbreak Pts	4	8
4229170	Game Stats	Pts in Paint	34	32
4229325	1st Half	Time of Possession	597	603
4229325	1st Half	Scoring Time of Possession	162	229
4229325	1st Half	Times Took Lead	0	0
4229325	1st Half	Largest Lead	""	0
4229325	1st Half	Time of Largest Lead	""	-
4229325	1st Half	Bench Pts	5	13
4229325	1st Half	Times Tied Score	2	0
4229325	1st Half	2nd Chance Pts	5	5
4229325	1st Half	Pts off TO	0	3
4229325	1st Half	Fastbreak Pts	0	0
4229325	1st Half	Pts in Paint	8	14
4229325	2nd Half	Time of Possession	658	542
4229325	2nd Half	Scoring Time of Possession	376	300
4229325	2nd Half	Times Took Lead	0	0
4229325	2nd Half	Largest Lead	""	0
4229325	2nd Half	Time of Largest Lead	""	-
4229325	2nd Half	Bench Pts	9	18
4229325	2nd Half	Times Tied Score	0	0
4229325	2nd Half	2nd Chance Pts	7	4
4229325	2nd Half	Pts off TO	2	14
4229325	2nd Half	Fastbreak Pts	0	0
4229325	2nd Half	Pts in Paint	6	10
4229325	Game Stats	Time of Possession	1,255	1,145
4229325	Game Stats	Scoring Time of Possession	538	529
4229325	Game Stats	Times Took Lead		
4229325	Game Stats	Largest Lead	16	
4229325	Game Stats	Time of Largest Lead		
4229325	Game Stats	Bench Pts	14	31
4229325	Game Stats	Times Tied Score	2	
4229325	Game Stats	2nd Chance Pts	12	9
4229325	Game Stats	Pts off TO	2	17
4229325	Game Stats	Fastbreak Pts		
4229325	Game Stats	Pts in Paint	14	24
4229327	1st Half	Time of Possession	574	626
4229327	1st Half	Scoring Time of Possession	262	257
4229327	1st Half	Times Took Lead	1	2
4229327	1st Half	Largest Lead	0	0
