espn_key,espn_name,pinnacle_id,pinnacle_name
MTSU,Middle Tennessee,733,Middle Tenn St
SDST,South Dakota State,737,South Dakota St
MSM,Mount St Mary's,713,Mount St Marys
VCU,VCU,743,Va Commonwealth
SMC,Saint Mary's,744,Saint Mary's Ca
ETSU,East Tennessee State,723,E Tennessee St
MINN,Minnesota,734,Minnesota U
MIA,Miami,840,Miami Florida
UNCW,UNC Wilmington,721,NC Wilmington
