         name         |          matched           | lev 
----------------------+----------------------------+-----
 ADALA MOTO,ARNAUD    | Adala Moto, Arnaud William |   7
 ALBRECHT,SPIKE       | Albrecht, Michael          |   6
 AMILO,NNAMDI         | Brimah, Amida              |   7
 APPLEWHITE,DRE       | Applewhite, Andre          |   8
 BARLOW,ALEX          | Barlow, Alexander          |   5
 BERGANTINO,T         | Bergantino, Tyler          |   4
 BOURGAULT,MARCO      | Bourgault, Marc-Antoine    |   8
 BOYD,M               | Boyd, Marcel               |   5
 BROWN,JOE            | Cooke, Austin              |   8
 CAMPBELL,PARIS       | Roberts-Campbell, Paris    |   7
 CARTER,S             | Carter, Sampson            |   6
 CARTWRIGHT,MILES     | Jackson-Cartwright, Miles  |   7
 CHATKEVICIUS,L       | Chatkevicius, Laimonas     |   7
 CHIBUOGWU,MANNY      | Chibuogwu, Emmanuel        |   5
 CLEMONS,JOSH         | Heard, John                |   8
 COLLINS,D            | Collins, Damon             |   4
 COOK,JOHNATHAN       | Johnson, Theo              |   8
 DANIEL,J             | Daniel, James              |   4
 DEN                  | Samac, Dom                 |   7
 DORSEY-WALKER,S      | Dorsey-Walker, Sherron     |   6
 DREES,CHRIS          | Drees, Kris                |   7
 EDOGI,TK             | Edogi, Tarekeyi            |   6
 EDO,K                | Edo, Karachi               |   6
 ELLISON,O            | Hill, Keon                 |   5
 ESHO,M               | Esho, Maxie                |   4
 FERRELL,KEVIN (YOGI) | Ferrell, Kevin Yogi        |  10
 GADSDEN-GILLIARD,K   | Gadsden-Gilliard, Kinard   |   5
 GANIS,ALBERTO        | Rowley, Andy               |   9
 GHANI,KHALIQ         | Bedart Ghani, Khaliq       |   6
 GIDDINGS,T           | Giddings, Tanner           |   5
 GILDER-TILBURY,K     | Gilder-Tilbury, Kavin      |   4
 GORDON,D             | Gordon, Derrick            |   6
 GRAHAM,JON           | Graham, Jonathan           |   5
 GRIGGS-WILLIAMS,C    | Griggs-Williams, Christian |   8
 GRIGGS-WILLIAMS, C   | Griggs-Williams, Christian |   8
 GUERRERO,C           | Guerrero, Cezar            |   4
 HANLAN,O             | Rahon, Joe                 |   6
 HARRIS,M             | Harris, Marvelle           |   7
 HARRISON-DOCKS,C     | Harrison-Docks, Chris      |   4
 HECKMANN,P           | Heckmann, Patrick          |   6
 HILDEBRANDT,CHRIS    | Hildebrandt, Christian     |   4
 HILDEBRANDT, CHRIS   | Hildebrandt, Christian     |   4
 HINTON,WES           | Hinton, Westley            |   4
 HOLLIS-JEFFERSON,R   | Hollis-Jefferson, Rondae   |   5
 HORNSTEIN,RICHARD    | Morrow, Richard            |   7
 JACKSON,L            | Jackson, Lonnie            |   5
 JOHNSON-DANNER,L     | Johnson-Danner, Lawrence   |   7
 JOHNSON-DANNER,LAW   | Johnson-Danner, Lawrence   |   5
 JOHNSON,T            | Johnson, Tyler             |   4
 JORDAN,JOHN          | Jordan, Johnathan          |   5
 JORDAN, JOHN         | Jordan, Johnathan          |   5
 KNIGHT,TWEETY        | Knight, Trantell           |   6
 LAUER,HANSCHRISTIAN  | Lauer, Hans Christian      |   8
