year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles
2014	11540	26172	A&M-Corpus Chris	30	1510029	Beverly, Jeff	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1510029	Fr	F	6-6	34	34	667:00	100	225	44.44	19	46	41.30	59	81	72.84	278	8.18	48	54	102	3.00	13	58	11	7	84	 	 
2014	11540	26172	A&M-Corpus Chris	03	1402239	Knowles, Zane	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1402239	Sr	F	6-10	34	34	823:00	102	174	58.62	 	 	""	33	78	42.31	237	6.97	81	176	257	7.56	17	53	9	34	102	7	 
2014	11540	26172	A&M-Corpus Chris	01	1289295	Ali, Hameed	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1289295	Jr	G	6-2	34	30	873:00	96	233	41.20	31	81	38.27	50	67	74.63	273	8.03	11	57	68	2.00	82	35	39	9	75	 	 
2014	11540	26172	A&M-Corpus Chris	00	1402242	Pye, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1402242	So	G	6-0	33	23	624:00	72	157	45.86	36	72	50.00	9	16	56.25	189	5.73	5	23	28	0.85	29	20	12	 	44	 	 
2014	11540	26172	A&M-Corpus Chris	10	1289299	Jordan, Johnathan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1289299	Jr	G	5-10	33	33	1119:00	141	323	43.65	8	35	22.86	187	272	68.75	477	14.45	33	115	148	4.48	177	88	49	4	80	 	 
2014	11540	26172	A&M-Corpus Chris	31	1402243	Williamson, Joy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1402243	Sr	G	6-3	33	6	835:00	89	161	55.28	8	31	25.81	78	103	75.73	264	8.00	40	90	130	3.94	35	46	28	2	60	 	 
2014	11540	26172	A&M-Corpus Chris	02	1402240	Martinez, Cole	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1402240	So	G	6-2	32	0	279:00	31	79	39.24	19	54	35.19	18	22	81.82	99	3.09	6	18	24	0.75	20	5	7	2	37	 	 
2014	11540	26172	A&M-Corpus Chris	12	1289301	Kocher, Jake	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1289301	So	G	6-3	32	3	550:00	69	146	47.26	15	47	31.91	29	40	72.50	182	5.69	27	53	80	2.50	25	27	46	3	42	 	 
2014	11540	26172	A&M-Corpus Chris	34	1402237	Francis, Dale	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1402237	So	F	6-9	26	0	126:00	8	16	50.00	3	4	75.00	 	2	0.00	19	0.73	3	10	13	0.50	1	10	 	2	32	 	 
2014	11540	26172	A&M-Corpus Chris	11	1402236	Currie, Jelani	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1402236	So	G	6-4	26	6	219:00	16	39	41.03	5	12	41.67	17	28	60.71	54	2.08	10	16	26	1.00	9	8	5	1	29	 	 
2014	11540	26172	A&M-Corpus Chris	25	1510028	Thomas, Rashawn	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1510028	Fr	F	6-7	25	0	547:00	109	184	59.24	3	11	27.27	48	87	55.17	269	10.76	40	89	129	5.16	12	49	16	33	66	2	 
2014	11540	26172	A&M-Corpus Chris	32	1289300	King, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=11540&stats_player_seq=1289300	Jr	G	6-0	19	1	105:00	3	20	15.00	1	12	8.33	 	 	""	7	0.37	2	6	8	0.42	5	3	1	 	20	 	 
