year,team_id,team_name,wins,losses,ties,total_games
2017,26172,A&M-Corpus Chris,14,9,6,29
2017,2,Abilene Christian,11,13,5,29
2017,30123,Academy of Art,6,16,4,26
2017,929,Adams St.,12,13,3,28
2017,3,Adelphi,17,9,2,28
2017,4,Adrian,7,16,2,25
2017,721,Air Force,10,15,6,31
2017,5,Akron,21,4,6,31
2017,10,Ala.-Huntsville,19,5,4,28
2017,8,Alabama,14,10,6,30
2017,6,Alabama A&M,1,22,6,29
2017,7,Alabama St.,8,16,6,30
2017,11,Alas. Anchorage,19,5,4,28
2017,12,Alas. Fairbanks,12,13,4,29
2017,14,Albany (NY),16,11,4,31
2017,13,Albany St. (GA),10,14,4,28
2017,2798,Albertus Magnus,18,4,2,24
2017,15,Albion,9,14,2,25
2017,16,Albright,11,13,1,25
2017,17,Alcorn,13,11,5,29
2017,934,Alderson Broaddus,12,12,4,28
2017,18,Alfred,9,14,2,25
2017,30170,Alfred St.,8,14,2,24
2017,19,Allegheny,7,16,2,25
2017,21,Alma,11,12,2,25
2017,938,Alvernia,14,9,2,25
2017,23,American,6,19,4,29
2017,22,American Int'l,10,16,2,28
2017,24,Amherst,17,6,0,23
2017,939,Anderson (IN),16,7,2,25
2017,13028,Anderson (SC),11,13,4,28
2017,25,Angelo St.,15,8,4,27
2017,26,Anna Maria,4,19,2,25
2017,27,Appalachian St.,8,16,5,29
2017,966,Arcadia,9,14,2,25
2017,29,Arizona,23,3,5,31
2017,28,Arizona St.,12,14,5,31
2017,30105,Ark.-Fort Smith,17,11,3,31
2017,8411,Ark.-Monticello,19,3,4,26
2017,2678,Ark.-Pine Bluff,7,20,5,32
2017,31,Arkansas,18,7,6,31
2017,30,Arkansas St.,18,8,5,31
2017,947,Arkansas Tech,18,4,4,26
2017,33,Armstrong St.,10,15,3,28
2017,725,Army West Point,9,17,4,30
2017,35,Ashland,15,8,3,26
2017,36,Assumption,6,19,3,28
2017,37,Auburn,16,9,6,31
2017,38,Augsburg,10,14,2,26
2017,39,Augusta,20,6,2,28
2017,40,Augustana (IL),18,5,2,25
2017,41,Augustana (SD),19,7,2,28
2017,30093,AUM,5,18,3,26
2017,42,Aurora,16,7,2,25
2017,953,Austin,6,19,1,26
2017,43,Austin Peay,8,18,4,30
2017,44,Averett,9,14,2,25
2017,30146,Azusa Pacific,14,13,3,30
2017,45,Babson,22,1,2,25
2017,46,Baldwin Wallace,11,12,2,25
2017,47,Ball St.,15,10,6,31
2017,962,Bard,3,20,2,25
2017,49,Barry,19,4,3,26
2017,15646,Barton,16,8,4,28
2017,58,Baruch,17,8,0,25
2017,50,Bates,15,9,0,24
2017,51,Baylor,22,4,5,31
2017,26107,Becker,15,7,3,25
2017,30197,Belhaven,4,19,2,25
2017,52,Bellarmine,22,3,3,28
2017,14927,Belmont,18,5,4,27
2017,2683,Belmont Abbey,12,12,4,28
2017,53,Beloit,6,15,2,23
2017,54,Bemidji St.,10,15,2,27
2017,55,Benedict,14,9,3,26
2017,296,Benedictine (IL),20,4,1,25
2017,56,Bentley,11,12,3,26
2017,30171,Berea,14,9,2,25
2017,973,Berry,10,14,1,25
2017,59,Bethany (WV),13,10,2,25
2017,30038,Bethany Lutheran,15,8,2,25
