year	division_id	division_text	ranking_id	ranking_text
2017	1	d1	17946	Thru Games 04/04/2017
2017	1	d1	17938	Thru Games 03/30/2017
2017	1	d1	17947	Thru Games 03/23/2017
2017	1	d1	17940	Thru Games 03/22/2017
2017	1	d1	17917	Thru Games 03/21/2017
2017	1	d1	17909	Thru Games 03/20/2017
2017	1	d1	17874	Thru Games 03/19/2017
2017	1	d1	17865	Thru Games 03/18/2017
2017	1	d1	17861	Thru Games 03/17/2017
2017	1	d1	17854	Thru Games 03/16/2017
2017	1	d1	17833	Thru Games 03/15/2017
2017	1	d1	17825	Thru Games 03/14/2017
2017	1	d1	17804	Thru Games 03/13/2017
2017	1	d1	17776	Thru Games 03/12/2017
2017	1	d1	17772	Thru Games 03/11/2017
2017	1	d1	17767	Thru Games 03/10/2017
2017	1	d1	17751	Thru Games 03/09/2017
2017	1	d1	17734	Thru Games 03/08/2017
2017	1	d1	17716	Thru Games 03/07/2017
2017	1	d1	17700	Thru Games 03/06/2017
2017	1	d1	17691	Thru Games 03/05/2017
2017	1	d1	17693	Thru Games 03/05/2017
2017	1	d1	17663	Thru Games 03/04/2017
2017	1	d1	17658	Thru Games 03/03/2017
2017	1	d1	17644	Thru Games 03/02/2017
2017	1	d1	17615	Thru Games 03/01/2017
2017	1	d1	17598	Thru Games 02/28/2017
2017	1	d1	17579	Thru Games 02/27/2017
2017	1	d1	17563	Thru Games 02/26/2017
2017	1	d1	17546	Thru Games 02/25/2017
2017	1	d1	17545	Thru Games 02/24/2017
2017	1	d1	17532	Thru Games 02/23/2017
2017	1	d1	17526	Thru Games 02/22/2017
2017	1	d1	17498	Thru Games 02/21/2017
2017	1	d1	17486	Thru Games 02/20/2017
2017	1	d1	17455	Thru Games 02/19/2017
2017	1	d1	17448	Thru Games 02/18/2017
2017	1	d1	17440	Thru Games 02/16/2017
2017	1	d1	17431	Thru Games 02/15/2017
2017	1	d1	17418	Thru Games 02/14/2017
2017	1	d1	17403	Thru Games 02/13/2017
2017	1	d1	17384	Thru Games 02/12/2017
2017	1	d1	17377	Thru Games 02/11/2017
2017	1	d1	17375	Thru Games 02/10/2017
2017	1	d1	17370	Thru Games 02/09/2017
2017	1	d1	17353	Thru Games 02/08/2017
2017	1	d1	17342	Thru Games 02/07/2017
2017	1	d1	17334	Thru Games 02/06/2017
2017	1	d1	17320	Thru Games 02/05/2017
2017	1	d1	17309	Thru Games 02/04/2017
2017	1	d1	17307	Thru Games 02/03/2017
2017	1	d1	17304	Thru Games 02/02/2017
2017	1	d1	17290	Thru Games 02/01/2017
2017	1	d1	17284	Thru Games 01/31/2017
2017	1	d1	17271	Thru Games 01/30/2017
2017	1	d1	17258	Thru Games 01/29/2017
2017	1	d1	17273	Thru Games 01/28/2017
2017	1	d1	17248	Thru Games 01/27/2017
2017	1	d1	17242	Thru Games 01/26/2017
2017	1	d1	17237	Thru Games 01/25/2017
2017	1	d1	17227	Thru Games 01/24/2017
2017	1	d1	17217	Thru Games 01/23/2017
2017	1	d1	17212	Thru Games 01/22/2017
2017	1	d1	17202	Thru Games 01/21/2017
2017	1	d1	17199	Thru Games 01/20/2017
2017	1	d1	17192	Thru Games 01/19/2017
2017	1	d1	17182	Thru Games 01/18/2017
2017	1	d1	17175	Thru Games 01/17/2017
2017	1	d1	17166	Thru Games 01/16/2017
