game_date,date_time,away_name,away_abbr,away_score,away_pred_diff,away_win_prob,matchup_quality,away_game_score,home_name,home_abbr,home_score,home_pred_diff,home_win_prob,home_game_score
2017-03-14,,Kansas State,KSU,95,,,92.0,88.3,Wake Forest,WAKE,88,1.6,56.3,45.5
2017-03-14,,Mount St Mary's,MSM,67,1.2,54.9,52.6,55.0,New Orleans,UNO,66,,,35.9
2017-03-15,,USC,USC,75,,,85.9,,Providence,PROV,71,2.2,58.6,
2017-03-15,,North Carolina Central,NCCU,63,5.5,70.6,48.8,,UC Davis,UCD,67,,,
2017-03-16,2017-03-16T22:50Z,Xavier,XAV,,1.6,56.3,90.8,,Maryland,MD,,,,
2017-03-16,2017-03-16T20:30Z,Vanderbilt,VAN,,0.8,53.2,90.6,,Northwestern,NW,,,,
2017-03-16,2017-03-16T20:00Z,Middle Tennessee,MTSU,,,,89.6,,Minnesota,MINN,,1.1,54.5,
2017-03-16,2017-03-17T01:40Z,Virginia Tech,VT,,,,82.6,,Wisconsin,WIS,,6.5,74.5,
2017-03-16,2017-03-16T23:20Z,VCU,VCU,,,,81.7,,Saint Mary's,SMC,,8.5,81.9,
2017-03-16,2017-03-16T16:15Z,Princeton,PRIN,,,,81.1,,Notre Dame,ND,,6.9,76.2,
2017-03-16,2017-03-17T01:57Z,Nevada,NEV,,,,80.9,,Iowa State,ISU,,7.9,76.9,
2017-03-16,2017-03-16T23:27Z,Vermont,UVM,,,,80.0,,Purdue,PUR,,10.2,83.9,
2017-03-16,2017-03-16T16:40Z,UNC Wilmington,UNCW,,,,78.6,,Virginia,UVA,,12.3,88.8,
2017-03-16,2017-03-16T19:10Z,East Tennessee State,ETSU,,,,75.8,,Florida,FLA,,15.9,91.4,
2017-03-16,2017-03-17T01:20Z,Florida Gulf Coast,FGCU,,,,75.3,,Florida State,FSU,,12.3,86.5,
2017-03-16,2017-03-16T18:45Z,Bucknell,BUCK,,,,74.9,,West Virginia,WVU,,17.6,92.7,
2017-03-16,2017-03-16T17:30Z,Winthrop,WIN,,,,72.3,,Butler,BUT,,12.7,87.7,
2017-03-16,2017-03-17T01:50Z,North Dakota,UND,,,,67.5,,Arizona,ARIZ,,16.7,92.9,
2017-03-16,2017-03-16T23:10Z,Mount St Mary's,MSM,,,,65.9,,Villanova,NOVA,,26.8,98.8,
2017-03-16,2017-03-16T18:00Z,South Dakota State,SDST,,,,65.8,,Gonzaga,GONZ,,27.2,98.4,
2017-03-17,2017-03-18T01:50Z,Marquette,MARQ,,1.4,55.4,92.1,,South Carolina,SC,,,,
2017-03-17,2017-03-18T01:20Z,Michigan State,MSU,,,,91.1,,Miami,MIA,,1.7,57.1,
2017-03-17,2017-03-17T20:30Z,Rhode Island,URI,,,,91.0,,Creighton,CREI,,3.0,61.1,
2017-03-17,2017-03-17T17:30Z,Seton Hall,HALL,,,,89.5,,Arkansas,ARK,,0.9,53.4,
2017-03-17,2017-03-17T16:15Z,Oklahoma State,OKST,,,,86.8,,Michigan,MICH,,4.6,67.5,
2017-03-17,2017-03-17T23:27Z,Kansas State,KSU,,,,86.1,,Cincinnati,CIN,,5.0,69.8,
2017-03-17,2017-03-17T23:10Z,Wichita State,WICH,,6.6,72.8,85.0,,Dayton,DAY,,,,
2017-03-17,2017-03-17T16:40Z,New Mexico State,NMSU,,,,73.0,,Baylor,BAY,,13.9,91.1,
2017-03-17,2017-03-17T23:20Z,Troy,TROY,,,,70.1,,Duke,DUKE,,20.5,95.8,
2017-03-17,2017-03-17T18:00Z,Iona,IONA,,,,68.7,,Oregon,ORE,,19.7,95.4,
2017-03-17,2017-03-18T01:57Z,Kent State,KENT,,,,68.2,,UCLA,UCLA,,21.1,95.4,
2017-03-17,2017-03-17T18:45Z,Jacksonville State,JVST,,,,67.1,,Louisville,LOU,,22.6,97.6,
2017-03-17,2017-03-17T20:00Z,Texas Southern,TXSO,,,,67.0,,North Carolina,UNC,,28.0,98.4,
2017-03-17,2017-03-18T01:40Z,Northern Kentucky,NKU,,,,66.6,,Kentucky,UK,,24.1,96.9,
2017-03-17,2017-03-17T19:10Z,USC,USC,,,,,,SMU,SMU,,,,
2017-03-17,2017-03-17T22:50Z,UC Davis,UCD,,,,,,Kansas,KU,,,,
