             team_name             | avg_height 
-----------------------------------+------------
 Belhaven                          |       81.0
 Duke                              |       79.4
 UNLV                              |       79.3
 Oregon St.                        |       79.1
 Georgetown                        |       78.7
 Florida                           |       78.6
 Notre Dame                        |       78.6
 Southern California               |       78.6
 Gonzaga                           |       78.5
 Oregon                            |       78.4
 LSU                               |       78.4
 Florida St.                       |       78.4
 Belmont                           |       78.3
 Utah St.                          |       78.3
 Louisville                        |       78.3
 Miami (FL)                        |       78.2
 Northeastern                      |       78.2
 Utah                              |       78.2
 Virginia                          |       78.2
 James Madison                     |       78.2
 Iowa                              |       78.2
 Pittsburgh                        |       78.2
 Ohio                              |       78.1
 Wisconsin                         |       78.1
 North Carolina St.                |       78.1
 UConn                             |       78.1
 FIU                               |       78.1
 Minnesota                         |       78.1
 St. Mary's (CA)                   |       78.0
 UCLA                              |       78.0
 Boise St.                         |       78.0
 Northwestern                      |       78.0
 San Diego St.                     |       78.0
 BYU                               |       78.0
 UCF                               |       77.9
 Wake Forest                       |       77.9
 Massachusetts                     |       77.9
 Siena                             |       77.9
 St. John's (NY)                   |       77.9
 Temple                            |       77.9
 Southeastern Okla.                |       77.9
 Michigan                          |       77.9
 Xavier                            |       77.9
 Alabama                           |       77.9
 Texas Tech                        |       77.8
 San Jose St.                      |       77.8
 Western Ky.                       |       77.8
 George Washington                 |       77.8
 Eastern Mich.                     |       77.8
 SMU                               |       77.8
 New Mexico                        |       77.8
 East Carolina                     |       77.8
 Ohio St.                          |       77.8
 Wyoming                           |       77.8
 Houston                           |       77.8
 Georgia Tech                      |       77.7
 William & Mary                    |       77.7
 Colorado                          |       77.7
 Loyola Marymount                  |       77.7
 Kansas St.                        |       77.7
 Brown                             |       77.7
 West Virginia                     |       77.6
 San Francisco                     |       77.6
 Illinois St.                      |       77.6
 Kansas                            |       77.6
 Miami (OH)                        |       77.6
 Charlotte                         |       77.6
 Arizona St.                       |       77.6
 Louisiana Tech                    |       77.6
 Kennesaw St.                      |       77.6
 Kentucky                          |       77.6
 Seattle U                         |       77.6
 Boston College                    |       77.6
 Arizona                           |       77.6
 Virginia Tech                     |       77.6
 Ark.-Pine Bluff                   |       77.6
 Santa Clara                       |       77.6
 Central Ark.                      |       77.5
 South Fla.                        |       77.5
 Ole Miss                          |       77.5
 Towson                            |       77.5
 Villanova                         |       77.5
 Mississippi St.                   |       77.5
 Wesleyan (CT)                     |       77.5
 Marist                            |       77.5
 Baylor                            |       77.5
 Iowa St.                          |       77.5
 Missouri                          |       77.5
 Cal St. East Bay                  |       77.5
 TCU                               |       77.5
 Toledo                            |       77.5
 CSUN                              |       77.4
 Cincinnati                        |       77.4
 Fresno St.                        |       77.4
 Indiana                           |       77.4
 UC Riverside                      |       77.4
 California                        |       77.4
 Northern Ill.                     |       77.4
 Valparaiso                        |       77.4
 Stanford                          |       77.4
 Fla. Atlantic                     |       77.4
 Rhode Island                      |       77.4
 DePaul                            |       77.4
 Maryland                          |       77.4
 St. Bonaventure                   |       77.4
 Memphis                           |       77.4
 Columbia                          |       77.4
 North Dakota St.                  |       77.3
 Alas. Anchorage                   |       77.3
 New Mexico St.                    |       77.3
 Oklahoma                          |       77.3
 Rice                              |       77.3
 SIUE                              |       77.3
 Cal St. Fullerton                 |       77.3
 Hillsdale                         |       77.3
 Hartford                          |       77.3
 Nebraska                          |       77.3
 Seton Hall                        |       77.3
 Buffalo                           |       77.2
 Arkansas                          |       77.2
 La Salle                          |       77.2
 SFA                               |       77.2
 USC Upstate                       |       77.2
 Penn St.                          |       77.2
 Wichita St.                       |       77.2
 UAB                               |       77.2
 West Florida                      |       77.2
 Drake                             |       77.2
 Quinnipiac                        |       77.2
 Vanderbilt                        |       77.2
 Evansville                        |       77.2
 Nova Southeastern                 |       77.1
 Bemidji St.                       |       77.1
 Dartmouth                         |       77.1
 Indiana St.                       |       77.1
 Illinois                          |       77.1
