team_id	name	matched_hash
490	ABU,ADBUL-MALIK	abdulabumalik
627	ANDERSON,CHRIS	andersonchristopher
545	ARONPHILLIPS-NWANKWO	aronnwankwophillips
202	BABB-HARRISON,J	babbharrisonjaylen
87	BARLOW,ALEX	alexanderbarlow
17	BARNES,JR, COREY	barnesjr
196	CAMPBELL,PARIS	campbellparisroberts
648	CHATKEVICIUS,L	chatkeviciuslaimonas
1356	CHIBUOGWU,MANNY	chibuogwuemmanuel
415	CRUZUCEDA,IVAN	cruzivanuceda
650	DAVIS,DJ	davisdejondj
346	DE LATTIBEAUDIERE,T	delattibeaudieretyran
311	DORSEY-WALKER,S	dorseysherronwalker
719	EDOGI,TK	edogitarekeyi
719	EZECHINONSO,E	emmanuelezechinonso
306	FERRELL,KEVIN (YOGI)	ferrellkevinyogi
562	FLORAS,DIMITRI	dimitriflorasgeorge
813	GHANI,KHALIQ	bedartghanikhaliq
392	GRAHAM,JON	grahamjonathan
772	HARRISON-DOCKS,C	chrisdocksharrison
772	HARRISON-DOCKS,C.	chrisdocksharrison
29	HOLLIS-JEFFERSON,R	hollisjeffersonrondae
6	HOUSTON,BJ	barynhouston
29	JACKSON-CARTWRIGHT	cartwrightjacksonparker
758	JOHNSON-COSTON,J	costonjaelynjohnson
302	LAUER,HANSCHRISTIAN	christianhanslauer
716	MAROVEK,JARO	jaroslavmoravek
741	MASON,TYRELL	masont
501	MILLER,CHRIS	christophermiller
2	MILOSAVLJEVIC,ALEXS	alexsandermilosavljevic
749	MITOGLOU,DINOS	milesoverton
749	MITOGLOU,K	milesoverton
782	MORRIS,SHAQUILLE	morrisshaq
528	MORRIS-WALKER,L	langstonmorriswalker
306	MOSQUERA-PEREA,H	hannermosqueraperea
393	MYERS,MIKE	michaelmyers
328	MYKHAILIUK,SVI	mykhailiuksviatoslav
196	NZEGE,MICHEL-OFIK	michelnzege
528	PAYTONII,GARY	garyiipayton
231	PORCHER JIMENEZ,M	jimenezmarcoporcher
434	POST	keanaupost
444	RAVENSCRAFT,J	jaredravenscraft
48	RAYMOND,JANTZEN	coliejantzenraymond
2707	RIVAS,RAMON	juanramonrivas
434	ROSBURG	rosburgryan
14	ROWLEY,MIKE	michaelrowley
670	SEAY,ED	edwardseay
434	SHAMBURGER	keithshamburger
647	SOLOMAN,TY	solomantyvoris
647	SOLOMON,TY	solomantyvoris
667	THOMPSON,CHRISTIAN	christhompson
670	TILBURY,KAVIN	gilderkavintilbury
311	TSALMPOURIS,G	georgiostsalmpouris
725	WALDROUP-RODRIGUEZ	rodrigueztraviswaldroup
670	WEATHERSPOON,J	jamarcusweatherspoon
